,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,301,2,2,2018-07-03 01:31:21,2018-07-03,Market Cap (intraday) 5,15.95B
1,301,2,2,2018-07-03 01:31:21,2018-07-03,Enterprise Value 3,18.79B
2,301,2,2,2018-07-03 01:31:21,2018-07-03,Trailing P/E,4.29
3,301,2,2,2018-07-03 01:31:21,2018-07-03,Forward P/E 1,12.47
4,301,2,2,2018-07-03 01:31:21,2018-07-03,PEG Ratio (5 yr expected) 1,1.66
5,301,2,2,2018-07-03 01:31:21,2018-07-03,Price/Sales (ttm),1.65
6,301,2,2,2018-07-03 01:31:21,2018-07-03,Price/Book (mrq),2.17
7,301,2,2,2018-07-03 01:31:21,2018-07-03,Enterprise Value/Revenue 3,1.94
8,301,2,2,2018-07-03 01:31:21,2018-07-03,Enterprise Value/EBITDA 6,9.85
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Profit Margin,10.12%
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Operating Margin (ttm),14.90%
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Return on Assets (ttm),7.75%
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Return on Equity (ttm),14.60%
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Revenue (ttm),9.68B
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Revenue Per Share (ttm),130.12
2,301,3,2,2018-07-03 01:31:21,2018-07-03,Quarterly Revenue Growth (yoy),8.60%
3,301,3,2,2018-07-03 01:31:21,2018-07-03,Gross Profit (ttm),3B
4,301,3,2,2018-07-03 01:31:21,2018-07-03,EBITDA,1.91B
5,301,3,2,2018-07-03 01:31:21,2018-07-03,Net Income Avi to Common (ttm),979.5M
6,301,3,2,2018-07-03 01:31:21,2018-07-03,Diluted EPS (ttm),49.90
7,301,3,2,2018-07-03 01:31:21,2018-07-03,Quarterly Earnings Growth (yoy),4.10%
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Total Cash (mrq),114.84M
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Total Cash Per Share (mrq),1.54
2,301,3,2,2018-07-03 01:31:21,2018-07-03,Total Debt (mrq),2.92B
3,301,3,2,2018-07-03 01:31:21,2018-07-03,Total Debt/Equity (mrq),39.55
4,301,3,2,2018-07-03 01:31:21,2018-07-03,Current Ratio (mrq),1.54
5,301,3,2,2018-07-03 01:31:21,2018-07-03,Book Value Per Share (mrq),98.45
0,301,3,2,2018-07-03 01:31:21,2018-07-03,Operating Cash Flow (ttm),1.21B
1,301,3,2,2018-07-03 01:31:21,2018-07-03,Levered Free Cash Flow (ttm),-75.61M
0,301,4,2,2018-07-03 01:31:21,2018-07-03,Beta,1.34
1,301,4,2,2018-07-03 01:31:21,2018-07-03,52-Week Change 3,-11.12%
2,301,4,2,2018-07-03 01:31:21,2018-07-03,S&P500 52-Week Change 3,11.91%
3,301,4,2,2018-07-03 01:31:21,2018-07-03,52 Week High 3,286.85
4,301,4,2,2018-07-03 01:31:21,2018-07-03,52 Week Low 3,202.75
5,301,4,2,2018-07-03 01:31:21,2018-07-03,50-Day Moving Average 3,210.97
6,301,4,2,2018-07-03 01:31:21,2018-07-03,200-Day Moving Average 3,240.88
0,301,4,2,2018-07-03 01:31:21,2018-07-03,Avg Vol (3 month) 3,865.12k
1,301,4,2,2018-07-03 01:31:21,2018-07-03,Avg Vol (10 day) 3,904.98k
2,301,4,2,2018-07-03 01:31:21,2018-07-03,Shares Outstanding 5,74.6M
3,301,4,2,2018-07-03 01:31:21,2018-07-03,Float,61.91M
4,301,4,2,2018-07-03 01:31:21,2018-07-03,% Held by Insiders 1,29.93%
5,301,4,2,2018-07-03 01:31:21,2018-07-03,% Held by Institutions 1,80.83%
6,301,4,2,2018-07-03 01:31:21,2018-07-03,Shares Short 3,1.98M
7,301,4,2,2018-07-03 01:31:21,2018-07-03,Short Ratio 3,2.48
8,301,4,2,2018-07-03 01:31:21,2018-07-03,Short % of Float 3,3.20%
9,301,4,2,2018-07-03 01:31:21,2018-07-03,Shares Short (prior month) 3,1.32M
0,301,4,2,2018-07-03 01:31:21,2018-07-03,Forward Annual Dividend Rate 4,
1,301,4,2,2018-07-03 01:31:21,2018-07-03,Forward Annual Dividend Yield 4,
2,301,4,2,2018-07-03 01:31:21,2018-07-03,Trailing Annual Dividend Rate 3,
3,301,4,2,2018-07-03 01:31:21,2018-07-03,Trailing Annual Dividend Yield 3,
4,301,4,2,2018-07-03 01:31:21,2018-07-03,5 Year Average Dividend Yield 4,
5,301,4,2,2018-07-03 01:31:21,2018-07-03,Payout Ratio 4,0.00%
6,301,4,2,2018-07-03 01:31:21,2018-07-03,Dividend Date 3,
7,301,4,2,2018-07-03 01:31:21,2018-07-03,Ex-Dividend Date 4,
8,301,4,2,2018-07-03 01:31:21,2018-07-03,Last Split Factor (new per old) 2,3/2
9,301,4,2,2018-07-03 01:31:21,2018-07-03,Last Split Date 3,"Dec 5, 1997"
