,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,303,2,2,2018-07-03 01:32:05,2018-07-03,Market Cap (intraday) 5,15.18B
1,303,2,2,2018-07-03 01:32:05,2018-07-03,Enterprise Value 3,20.2B
2,303,2,2,2018-07-03 01:32:05,2018-07-03,Trailing P/E,18.33
3,303,2,2,2018-07-03 01:32:05,2018-07-03,Forward P/E 1,21.42
4,303,2,2,2018-07-03 01:32:05,2018-07-03,PEG Ratio (5 yr expected) 1,2.21
5,303,2,2,2018-07-03 01:32:05,2018-07-03,Price/Sales (ttm),2.90
6,303,2,2,2018-07-03 01:32:05,2018-07-03,Price/Book (mrq),5.01
7,303,2,2,2018-07-03 01:32:05,2018-07-03,Enterprise Value/Revenue 3,3.85
8,303,2,2,2018-07-03 01:32:05,2018-07-03,Enterprise Value/EBITDA 6,19.43
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Fiscal Year Ends,"Nov 30, 2017"
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Most Recent Quarter (mrq),"May 31, 2018"
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Profit Margin,15.83%
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Operating Margin (ttm),17.42%
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Return on Assets (ttm),7.48%
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Return on Equity (ttm),34.22%
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Revenue (ttm),5.24B
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Revenue Per Share (ttm),40.33
2,303,3,2,2018-07-03 01:32:05,2018-07-03,Quarterly Revenue Growth (yoy),19.10%
3,303,3,2,2018-07-03 01:32:05,2018-07-03,Gross Profit (ttm),2.03B
4,303,3,2,2018-07-03 01:32:05,2018-07-03,EBITDA,1.04B
5,303,3,2,2018-07-03 01:32:05,2018-07-03,Net Income Avi to Common (ttm),829.8M
6,303,3,2,2018-07-03 01:32:05,2018-07-03,Diluted EPS (ttm),6.31
7,303,3,2,2018-07-03 01:32:05,2018-07-03,Quarterly Earnings Growth (yoy),23.30%
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Total Cash (mrq),202.6M
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Total Cash Per Share (mrq),1.54
2,303,3,2,2018-07-03 01:32:05,2018-07-03,Total Debt (mrq),5.16B
3,303,3,2,2018-07-03 01:32:05,2018-07-03,Total Debt/Equity (mrq),169.75
4,303,3,2,2018-07-03 01:32:05,2018-07-03,Current Ratio (mrq),0.85
5,303,3,2,2018-07-03 01:32:05,2018-07-03,Book Value Per Share (mrq),23.07
0,303,3,2,2018-07-03 01:32:05,2018-07-03,Operating Cash Flow (ttm),873M
1,303,3,2,2018-07-03 01:32:05,2018-07-03,Levered Free Cash Flow (ttm),651.37M
0,303,4,2,2018-07-03 01:32:05,2018-07-03,Beta,0.29
1,303,4,2,2018-07-03 01:32:05,2018-07-03,52-Week Change 3,19.31%
2,303,4,2,2018-07-03 01:32:05,2018-07-03,S&P500 52-Week Change 3,11.91%
3,303,4,2,2018-07-03 01:32:05,2018-07-03,52 Week High 3,117.82
4,303,4,2,2018-07-03 01:32:05,2018-07-03,52 Week Low 3,90.25
5,303,4,2,2018-07-03 01:32:05,2018-07-03,50-Day Moving Average 3,104.84
6,303,4,2,2018-07-03 01:32:05,2018-07-03,200-Day Moving Average 3,104.79
0,303,4,2,2018-07-03 01:32:05,2018-07-03,Avg Vol (3 month) 3,1.01M
1,303,4,2,2018-07-03 01:32:05,2018-07-03,Avg Vol (10 day) 3,1.9M
2,303,4,2,2018-07-03 01:32:05,2018-07-03,Shares Outstanding 5,121.28M
3,303,4,2,2018-07-03 01:32:05,2018-07-03,Float,127.12M
4,303,4,2,2018-07-03 01:32:05,2018-07-03,% Held by Insiders 1,0.09%
5,303,4,2,2018-07-03 01:32:05,2018-07-03,% Held by Institutions 1,88.30%
6,303,4,2,2018-07-03 01:32:05,2018-07-03,Shares Short 3,10.4M
7,303,4,2,2018-07-03 01:32:05,2018-07-03,Short Ratio 3,11.08
8,303,4,2,2018-07-03 01:32:05,2018-07-03,Short % of Float 3,
9,303,4,2,2018-07-03 01:32:05,2018-07-03,Shares Short (prior month) 3,10.66M
0,303,4,2,2018-07-03 01:32:05,2018-07-03,Forward Annual Dividend Rate 4,2.08
1,303,4,2,2018-07-03 01:32:05,2018-07-03,Forward Annual Dividend Yield 4,1.79%
2,303,4,2,2018-07-03 01:32:05,2018-07-03,Trailing Annual Dividend Rate 3,1.98
3,303,4,2,2018-07-03 01:32:05,2018-07-03,Trailing Annual Dividend Yield 3,1.71%
4,303,4,2,2018-07-03 01:32:05,2018-07-03,5 Year Average Dividend Yield 4,1.90
5,303,4,2,2018-07-03 01:32:05,2018-07-03,Payout Ratio 4,32.79%
6,303,4,2,2018-07-03 01:32:05,2018-07-03,Dividend Date 3,"Jul 23, 2018"
7,303,4,2,2018-07-03 01:32:05,2018-07-03,Ex-Dividend Date 4,"Jul 6, 2018"
8,303,4,2,2018-07-03 01:32:05,2018-07-03,Last Split Factor (new per old) 2,2/1
9,303,4,2,2018-07-03 01:32:05,2018-07-03,Last Split Date 3,"Apr 9, 2002"
