,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,298,2,2,2018-07-03 01:30:14,2018-07-03,Market Cap (intraday) 5,32.4B
1,298,2,2,2018-07-03 01:30:14,2018-07-03,Enterprise Value 3,31.15B
2,298,2,2,2018-07-03 01:30:14,2018-07-03,Trailing P/E,38.64
3,298,2,2,2018-07-03 01:30:14,2018-07-03,Forward P/E 1,29.53
4,298,2,2,2018-07-03 01:30:14,2018-07-03,PEG Ratio (5 yr expected) 1,2.12
5,298,2,2,2018-07-03 01:30:14,2018-07-03,Price/Sales (ttm),9.32
6,298,2,2,2018-07-03 01:30:14,2018-07-03,Price/Book (mrq),8.36
7,298,2,2,2018-07-03 01:30:14,2018-07-03,Enterprise Value/Revenue 3,8.95
8,298,2,2,2018-07-03 01:30:14,2018-07-03,Enterprise Value/EBITDA 6,24.17
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Profit Margin,24.69%
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Operating Margin (ttm),35.57%
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Return on Assets (ttm),17.01%
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Return on Equity (ttm),23.19%
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Revenue (ttm),3.48B
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Revenue Per Share (ttm),6.15
2,298,3,2,2018-07-03 01:30:14,2018-07-03,Quarterly Revenue Growth (yoy),14.70%
3,298,3,2,2018-07-03 01:30:14,2018-07-03,Gross Profit (ttm),2.14B
4,298,3,2,2018-07-03 01:30:14,2018-07-03,EBITDA,1.29B
5,298,3,2,2018-07-03 01:30:14,2018-07-03,Net Income Avi to Common (ttm),858.75M
6,298,3,2,2018-07-03 01:30:14,2018-07-03,Diluted EPS (ttm),1.49
7,298,3,2,2018-07-03 01:30:14,2018-07-03,Quarterly Earnings Growth (yoy),21.40%
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Total Cash (mrq),1.1B
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Total Cash Per Share (mrq),1.95
2,298,3,2,2018-07-03 01:30:14,2018-07-03,Total Debt (mrq),
3,298,3,2,2018-07-03 01:30:14,2018-07-03,Total Debt/Equity (mrq),
4,298,3,2,2018-07-03 01:30:14,2018-07-03,Current Ratio (mrq),3.82
5,298,3,2,2018-07-03 01:30:14,2018-07-03,Book Value Per Share (mrq),6.89
0,298,3,2,2018-07-03 01:30:14,2018-07-03,Operating Cash Flow (ttm),943.68M
1,298,3,2,2018-07-03 01:30:14,2018-07-03,Levered Free Cash Flow (ttm),746.17M
0,298,4,2,2018-07-03 01:30:14,2018-07-03,Beta,0.90
1,298,4,2,2018-07-03 01:30:14,2018-07-03,52-Week Change 3,15.25%
2,298,4,2,2018-07-03 01:30:14,2018-07-03,S&P500 52-Week Change 3,11.91%
3,298,4,2,2018-07-03 01:30:14,2018-07-03,52 Week High 3,70.22
4,298,4,2,2018-07-03 01:30:14,2018-07-03,52 Week Low 3,47.61
5,298,4,2,2018-07-03 01:30:14,2018-07-03,50-Day Moving Average 3,53.08
6,298,4,2,2018-07-03 01:30:14,2018-07-03,200-Day Moving Average 3,58.57
0,298,4,2,2018-07-03 01:30:14,2018-07-03,Avg Vol (3 month) 3,3.56M
1,298,4,2,2018-07-03 01:30:14,2018-07-03,Avg Vol (10 day) 3,2.45M
2,298,4,2,2018-07-03 01:30:14,2018-07-03,Shares Outstanding 5,562.68M
3,298,4,2,2018-07-03 01:30:14,2018-07-03,Float,443.62M
4,298,4,2,2018-07-03 01:30:14,2018-07-03,% Held by Insiders 1,27.10%
5,298,4,2,2018-07-03 01:30:14,2018-07-03,% Held by Institutions 1,66.44%
6,298,4,2,2018-07-03 01:30:14,2018-07-03,Shares Short 3,10.87M
7,298,4,2,2018-07-03 01:30:14,2018-07-03,Short Ratio 3,2.57
8,298,4,2,2018-07-03 01:30:14,2018-07-03,Short % of Float 3,2.94%
9,298,4,2,2018-07-03 01:30:14,2018-07-03,Shares Short (prior month) 3,7.34M
0,298,4,2,2018-07-03 01:30:14,2018-07-03,Forward Annual Dividend Rate 4,
1,298,4,2,2018-07-03 01:30:14,2018-07-03,Forward Annual Dividend Yield 4,
2,298,4,2,2018-07-03 01:30:14,2018-07-03,Trailing Annual Dividend Rate 3,
3,298,4,2,2018-07-03 01:30:14,2018-07-03,Trailing Annual Dividend Yield 3,
4,298,4,2,2018-07-03 01:30:14,2018-07-03,5 Year Average Dividend Yield 4,
5,298,4,2,2018-07-03 01:30:14,2018-07-03,Payout Ratio 4,0.00%
6,298,4,2,2018-07-03 01:30:14,2018-07-03,Dividend Date 3,
7,298,4,2,2018-07-03 01:30:14,2018-07-03,Ex-Dividend Date 4,
8,298,4,2,2018-07-03 01:30:14,2018-07-03,Last Split Factor (new per old) 2,3/1
9,298,4,2,2018-07-03 01:30:14,2018-07-03,Last Split Date 3,"Nov 10, 2016"
