,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,300,2,2,2018-07-03 01:31:00,2018-07-03,Market Cap (intraday) 5,56.46B
1,300,2,2,2018-07-03 01:31:00,2018-07-03,Enterprise Value 3,60.79B
2,300,2,2,2018-07-03 01:31:00,2018-07-03,Trailing P/E,22.92
3,300,2,2,2018-07-03 01:31:00,2018-07-03,Forward P/E 1,
4,300,2,2,2018-07-03 01:31:00,2018-07-03,PEG Ratio (5 yr expected) 1,
5,300,2,2,2018-07-03 01:31:00,2018-07-03,Price/Sales (ttm),3.87
6,300,2,2,2018-07-03 01:31:00,2018-07-03,Price/Book (mrq),7.28
7,300,2,2,2018-07-03 01:31:00,2018-07-03,Enterprise Value/Revenue 3,4.17
8,300,2,2,2018-07-03 01:31:00,2018-07-03,Enterprise Value/EBITDA 6,14.64
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Fiscal Year Ends,"Aug 31, 2017"
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Most Recent Quarter (mrq),"Feb 28, 2018"
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Profit Margin,17.07%
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Operating Margin (ttm),23.28%
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Return on Assets (ttm),9.64%
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Return on Equity (ttm),37.54%
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Revenue (ttm),14.59B
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Revenue Per Share (ttm),33.17
2,300,3,2,2018-07-03 01:31:00,2018-07-03,Quarterly Revenue Growth (yoy),-1.10%
3,300,3,2,2018-07-03 01:31:00,2018-07-03,Gross Profit (ttm),
4,300,3,2,2018-07-03 01:31:00,2018-07-03,EBITDA,4.15B
5,300,3,2,2018-07-03 01:31:00,2018-07-03,Net Income Avi to Common (ttm),2.49B
6,300,3,2,2018-07-03 01:31:00,2018-07-03,Diluted EPS (ttm),5.58
7,300,3,2,2018-07-03 01:31:00,2018-07-03,Quarterly Earnings Growth (yoy),6.70%
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Total Cash (mrq),2.39B
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Total Cash Per Share (mrq),5.42
2,300,3,2,2018-07-03 01:31:00,2018-07-03,Total Debt (mrq),7.85B
3,300,3,2,2018-07-03 01:31:00,2018-07-03,Total Debt/Equity (mrq),101.04
4,300,3,2,2018-07-03 01:31:00,2018-07-03,Current Ratio (mrq),1.41
5,300,3,2,2018-07-03 01:31:00,2018-07-03,Book Value Per Share (mrq),17.58
0,300,3,2,2018-07-03 01:31:00,2018-07-03,Operating Cash Flow (ttm),3.32B
1,300,3,2,2018-07-03 01:31:00,2018-07-03,Levered Free Cash Flow (ttm),1.51B
0,300,4,2,2018-07-03 01:31:00,2018-07-03,Beta,0.92
1,300,4,2,2018-07-03 01:31:00,2018-07-03,52-Week Change 3,7.99%
2,300,4,2,2018-07-03 01:31:00,2018-07-03,S&P500 52-Week Change 3,11.91%
3,300,4,2,2018-07-03 01:31:00,2018-07-03,52 Week High 3,127.97
4,300,4,2,2018-07-03 01:31:00,2018-07-03,52 Week Low 3,4.80
5,300,4,2,2018-07-03 01:31:00,2018-07-03,50-Day Moving Average 3,93.81
6,300,4,2,2018-07-03 01:31:00,2018-07-03,200-Day Moving Average 3,115.42
0,300,4,2,2018-07-03 01:31:00,2018-07-03,Avg Vol (3 month) 3,4.17M
1,300,4,2,2018-07-03 01:31:00,2018-07-03,Avg Vol (10 day) 3,
2,300,4,2,2018-07-03 01:31:00,2018-07-03,Shares Outstanding 5,441.28M
3,300,4,2,2018-07-03 01:31:00,2018-07-03,Float,428.66M
4,300,4,2,2018-07-03 01:31:00,2018-07-03,% Held by Insiders 1,87.63%
5,300,4,2,2018-07-03 01:31:00,2018-07-03,% Held by Institutions 1,0.00%
6,300,4,2,2018-07-03 01:31:00,2018-07-03,Shares Short 3,6.5k
7,300,4,2,2018-07-03 01:31:00,2018-07-03,Short Ratio 3,0.75
8,300,4,2,2018-07-03 01:31:00,2018-07-03,Short % of Float 3,0.00%
9,300,4,2,2018-07-03 01:31:00,2018-07-03,Shares Short (prior month) 3,
0,300,4,2,2018-07-03 01:31:00,2018-07-03,Forward Annual Dividend Rate 4,2.16
1,300,4,2,2018-07-03 01:31:00,2018-07-03,Forward Annual Dividend Yield 4,1.72%
2,300,4,2,2018-07-03 01:31:00,2018-07-03,Trailing Annual Dividend Rate 3,2.16
3,300,4,2,2018-07-03 01:31:00,2018-07-03,Trailing Annual Dividend Yield 3,1.69%
4,300,4,2,2018-07-03 01:31:00,2018-07-03,5 Year Average Dividend Yield 4,1.77
5,300,4,2,2018-07-03 01:31:00,2018-07-03,Payout Ratio 4,38.78%
6,300,4,2,2018-07-03 01:31:00,2018-07-03,Dividend Date 3,"Apr 27, 2018"
7,300,4,2,2018-07-03 01:31:00,2018-07-03,Ex-Dividend Date 4,"Apr 5, 2018"
8,300,4,2,2018-07-03 01:31:00,2018-07-03,Last Split Factor (new per old) 2,2/1
9,300,4,2,2018-07-03 01:31:00,2018-07-03,Last Split Date 3,"Jul 31, 2006"
