,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,307,2,2,2018-07-03 01:33:35,2018-07-03,Market Cap (intraday) 5,63.19B
1,307,2,2,2018-07-03 01:33:35,2018-07-03,Enterprise Value 3,66.5B
2,307,2,2,2018-07-03 01:33:35,2018-07-03,Trailing P/E,5.46
3,307,2,2,2018-07-03 01:33:35,2018-07-03,Forward P/E 1,4.64
4,307,2,2,2018-07-03 01:33:35,2018-07-03,PEG Ratio (5 yr expected) 1,0.12
5,307,2,2,2018-07-03 01:33:35,2018-07-03,Price/Sales (ttm),2.25
6,307,2,2,2018-07-03 01:33:35,2018-07-03,Price/Book (mrq),2.21
7,307,2,2,2018-07-03 01:33:35,2018-07-03,Enterprise Value/Revenue 3,2.37
8,307,2,2,2018-07-03 01:33:35,2018-07-03,Enterprise Value/EBITDA 6,3.74
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Fiscal Year Ends,"Aug 31, 2017"
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Most Recent Quarter (mrq),"May 31, 2018"
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Profit Margin,43.36%
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Operating Margin (ttm),47.12%
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Return on Assets (ttm),22.02%
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Return on Equity (ttm),52.35%
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Revenue (ttm),28.09B
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Revenue Per Share (ttm),24.64
2,307,3,2,2018-07-03 01:33:35,2018-07-03,Quarterly Revenue Growth (yoy),40.10%
3,307,3,2,2018-07-03 01:33:35,2018-07-03,Gross Profit (ttm),8.44B
4,307,3,2,2018-07-03 01:33:35,2018-07-03,EBITDA,17.77B
5,307,3,2,2018-07-03 01:33:35,2018-07-03,Net Income Avi to Common (ttm),12.18B
6,307,3,2,2018-07-03 01:33:35,2018-07-03,Diluted EPS (ttm),9.97
7,307,3,2,2018-07-03 01:33:35,2018-07-03,Quarterly Earnings Growth (yoy),132.10%
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Total Cash (mrq),7.07B
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Total Cash Per Share (mrq),6.1
2,307,3,2,2018-07-03 01:33:35,2018-07-03,Total Debt (mrq),7.35B
3,307,3,2,2018-07-03 01:33:35,2018-07-03,Total Debt/Equity (mrq),24.90
4,307,3,2,2018-07-03 01:33:35,2018-07-03,Current Ratio (mrq),2.63
5,307,3,2,2018-07-03 01:33:35,2018-07-03,Book Value Per Share (mrq),24.70
0,307,3,2,2018-07-03 01:33:35,2018-07-03,Operating Cash Flow (ttm),15.45B
1,307,3,2,2018-07-03 01:33:35,2018-07-03,Levered Free Cash Flow (ttm),3.67B
0,307,4,2,2018-07-03 01:33:35,2018-07-03,Beta,1.55
1,307,4,2,2018-07-03 01:33:35,2018-07-03,52-Week Change 3,79.96%
2,307,4,2,2018-07-03 01:33:35,2018-07-03,S&P500 52-Week Change 3,11.91%
3,307,4,2,2018-07-03 01:33:35,2018-07-03,52 Week High 3,64.66
4,307,4,2,2018-07-03 01:33:35,2018-07-03,52 Week Low 3,26.85
5,307,4,2,2018-07-03 01:33:35,2018-07-03,50-Day Moving Average 3,57.87
6,307,4,2,2018-07-03 01:33:35,2018-07-03,200-Day Moving Average 3,50.41
0,307,4,2,2018-07-03 01:33:35,2018-07-03,Avg Vol (3 month) 3,51.04M
1,307,4,2,2018-07-03 01:33:35,2018-07-03,Avg Vol (10 day) 3,50.01M
2,307,4,2,2018-07-03 01:33:35,2018-07-03,Shares Outstanding 5,1.16B
3,307,4,2,2018-07-03 01:33:35,2018-07-03,Float,1.11B
4,307,4,2,2018-07-03 01:33:35,2018-07-03,% Held by Insiders 1,4.42%
5,307,4,2,2018-07-03 01:33:35,2018-07-03,% Held by Institutions 1,81.62%
6,307,4,2,2018-07-03 01:33:35,2018-07-03,Shares Short 3,60.32M
7,307,4,2,2018-07-03 01:33:35,2018-07-03,Short Ratio 3,1.14
8,307,4,2,2018-07-03 01:33:35,2018-07-03,Short % of Float 3,5.23%
9,307,4,2,2018-07-03 01:33:35,2018-07-03,Shares Short (prior month) 3,57.8M
0,307,4,2,2018-07-03 01:33:35,2018-07-03,Forward Annual Dividend Rate 4,
1,307,4,2,2018-07-03 01:33:35,2018-07-03,Forward Annual Dividend Yield 4,
2,307,4,2,2018-07-03 01:33:35,2018-07-03,Trailing Annual Dividend Rate 3,
3,307,4,2,2018-07-03 01:33:35,2018-07-03,Trailing Annual Dividend Yield 3,
4,307,4,2,2018-07-03 01:33:35,2018-07-03,5 Year Average Dividend Yield 4,
5,307,4,2,2018-07-03 01:33:35,2018-07-03,Payout Ratio 4,0.00%
6,307,4,2,2018-07-03 01:33:35,2018-07-03,Dividend Date 3,
7,307,4,2,2018-07-03 01:33:35,2018-07-03,Ex-Dividend Date 4,"May 7, 1996"
8,307,4,2,2018-07-03 01:33:35,2018-07-03,Last Split Factor (new per old) 2,2/1
9,307,4,2,2018-07-03 01:33:35,2018-07-03,Last Split Date 3,"May 2, 2000"
