,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,327,2,2,2018-07-03 01:41:00,2018-07-03,Market Cap (intraday) 5,53.86B
1,327,2,2,2018-07-03 01:41:00,2018-07-03,Enterprise Value 3,58.55B
2,327,2,2,2018-07-03 01:41:00,2018-07-03,Trailing P/E,25.77
3,327,2,2,2018-07-03 01:41:00,2018-07-03,Forward P/E 1,15.75
4,327,2,2,2018-07-03 01:41:00,2018-07-03,PEG Ratio (5 yr expected) 1,1.13
5,327,2,2,2018-07-03 01:41:00,2018-07-03,Price/Sales (ttm),2.06
6,327,2,2,2018-07-03 01:41:00,2018-07-03,Price/Book (mrq),7.01
7,327,2,2,2018-07-03 01:41:00,2018-07-03,Enterprise Value/Revenue 3,2.24
8,327,2,2,2018-07-03 01:41:00,2018-07-03,Enterprise Value/EBITDA 6,14.93
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Profit Margin,8.05%
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Operating Margin (ttm),13.12%
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Return on Assets (ttm),7.12%
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Return on Equity (ttm),31.79%
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Revenue (ttm),26.13B
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Revenue Per Share (ttm),149.92
2,327,3,2,2018-07-03 01:41:00,2018-07-03,Quarterly Revenue Growth (yoy),5.10%
3,327,3,2,2018-07-03 01:41:00,2018-07-03,Gross Profit (ttm),5.95B
4,327,3,2,2018-07-03 01:41:00,2018-07-03,EBITDA,3.92B
5,327,3,2,2018-07-03 01:41:00,2018-07-03,Net Income Avi to Common (ttm),2.1B
6,327,3,2,2018-07-03 01:41:00,2018-07-03,Diluted EPS (ttm),11.99
7,327,3,2,2018-07-03 01:41:00,2018-07-03,Quarterly Earnings Growth (yoy),13.70%
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Total Cash (mrq),10.37B
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Total Cash Per Share (mrq),59.46
2,327,3,2,2018-07-03 01:41:00,2018-07-03,Total Debt (mrq),15.26B
3,327,3,2,2018-07-03 01:41:00,2018-07-03,Total Debt/Equity (mrq),198.70
4,327,3,2,2018-07-03 01:41:00,2018-07-03,Current Ratio (mrq),2.52
5,327,3,2,2018-07-03 01:41:00,2018-07-03,Book Value Per Share (mrq),44.04
0,327,3,2,2018-07-03 01:41:00,2018-07-03,Operating Cash Flow (ttm),2.82B
1,327,3,2,2018-07-03 01:41:00,2018-07-03,Levered Free Cash Flow (ttm),1.2B
0,327,4,2,2018-07-03 01:41:00,2018-07-03,Beta,0.79
1,327,4,2,2018-07-03 01:41:00,2018-07-03,52-Week Change 3,19.40%
2,327,4,2,2018-07-03 01:41:00,2018-07-03,S&P500 52-Week Change 3,11.91%
3,327,4,2,2018-07-03 01:41:00,2018-07-03,52 Week High 3,360.88
4,327,4,2,2018-07-03 01:41:00,2018-07-03,52 Week Low 3,256.65
5,327,4,2,2018-07-03 01:41:00,2018-07-03,50-Day Moving Average 3,323.70
6,327,4,2,2018-07-03 01:41:00,2018-07-03,200-Day Moving Average 3,330.64
0,327,4,2,2018-07-03 01:41:00,2018-07-03,Avg Vol (3 month) 3,1.15M
1,327,4,2,2018-07-03 01:41:00,2018-07-03,Avg Vol (10 day) 3,981.78k
2,327,4,2,2018-07-03 01:41:00,2018-07-03,Shares Outstanding 5,174.38M
3,327,4,2,2018-07-03 01:41:00,2018-07-03,Float,161.21M
4,327,4,2,2018-07-03 01:41:00,2018-07-03,% Held by Insiders 1,0.53%
5,327,4,2,2018-07-03 01:41:00,2018-07-03,% Held by Institutions 1,83.17%
6,327,4,2,2018-07-03 01:41:00,2018-07-03,Shares Short 3,1.62M
7,327,4,2,2018-07-03 01:41:00,2018-07-03,Short Ratio 3,1.5
8,327,4,2,2018-07-03 01:41:00,2018-07-03,Short % of Float 3,1.05%
9,327,4,2,2018-07-03 01:41:00,2018-07-03,Shares Short (prior month) 3,1.87M
0,327,4,2,2018-07-03 01:41:00,2018-07-03,Forward Annual Dividend Rate 4,4.8
1,327,4,2,2018-07-03 01:41:00,2018-07-03,Forward Annual Dividend Yield 4,1.56%
2,327,4,2,2018-07-03 01:41:00,2018-07-03,Trailing Annual Dividend Rate 3,4.10
3,327,4,2,2018-07-03 01:41:00,2018-07-03,Trailing Annual Dividend Yield 3,1.33%
4,327,4,2,2018-07-03 01:41:00,2018-07-03,5 Year Average Dividend Yield 4,1.69
5,327,4,2,2018-07-03 01:41:00,2018-07-03,Payout Ratio 4,34.20%
6,327,4,2,2018-07-03 01:41:00,2018-07-03,Dividend Date 3,"Jun 20, 2018"
7,327,4,2,2018-07-03 01:41:00,2018-07-03,Ex-Dividend Date 4,"Jun 1, 2018"
8,327,4,2,2018-07-03 01:41:00,2018-07-03,Last Split Factor (new per old) 2,10000/9035
9,327,4,2,2018-07-03 01:41:00,2018-07-03,Last Split Date 3,"Mar 31, 2011"
