,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,320,2,2,2018-07-03 01:38:27,2018-07-03,Market Cap (intraday) 5,16.33B
1,320,2,2,2018-07-03 01:38:27,2018-07-03,Enterprise Value 3,17.75B
2,320,2,2,2018-07-03 01:38:27,2018-07-03,Trailing P/E,
3,320,2,2,2018-07-03 01:38:27,2018-07-03,Forward P/E 1,39.95
4,320,2,2,2018-07-03 01:38:27,2018-07-03,PEG Ratio (5 yr expected) 1,13.19
5,320,2,2,2018-07-03 01:38:27,2018-07-03,Price/Sales (ttm),2.22
6,320,2,2,2018-07-03 01:38:27,2018-07-03,Price/Book (mrq),1.16
7,320,2,2,2018-07-03 01:38:27,2018-07-03,Enterprise Value/Revenue 3,2.41
8,320,2,2,2018-07-03 01:38:27,2018-07-03,Enterprise Value/EBITDA 6,34.47
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Profit Margin,-2.49%
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Operating Margin (ttm),-2.46%
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Return on Assets (ttm),-0.55%
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Return on Equity (ttm),-1.29%
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Revenue (ttm),7.36B
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Revenue Per Share (ttm),19.50
2,320,3,2,2018-07-03 01:38:27,2018-07-03,Quarterly Revenue Growth (yoy),3.10%
3,320,3,2,2018-07-03 01:38:27,2018-07-03,Gross Profit (ttm),892M
4,320,3,2,2018-07-03 01:38:27,2018-07-03,EBITDA,515M
5,320,3,2,2018-07-03 01:38:27,2018-07-03,Net Income Avi to Common (ttm),-183M
6,320,3,2,2018-07-03 01:38:27,2018-07-03,Diluted EPS (ttm),-0.49
7,320,3,2,2018-07-03 01:38:27,2018-07-03,Quarterly Earnings Growth (yoy),
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Total Cash (mrq),1.24B
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Total Cash Per Share (mrq),3.23
2,320,3,2,2018-07-03 01:38:27,2018-07-03,Total Debt (mrq),2.71B
3,320,3,2,2018-07-03 01:38:27,2018-07-03,Total Debt/Equity (mrq),19.17
4,320,3,2,2018-07-03 01:38:27,2018-07-03,Current Ratio (mrq),3.37
5,320,3,2,2018-07-03 01:38:27,2018-07-03,Book Value Per Share (mrq),36.87
0,320,3,2,2018-07-03 01:38:27,2018-07-03,Operating Cash Flow (ttm),592M
1,320,3,2,2018-07-03 01:38:27,2018-07-03,Levered Free Cash Flow (ttm),546.75M
0,320,4,2,2018-07-03 01:38:27,2018-07-03,Beta,0.66
1,320,4,2,2018-07-03 01:38:27,2018-07-03,52-Week Change 3,28.02%
2,320,4,2,2018-07-03 01:38:27,2018-07-03,S&P500 52-Week Change 3,11.91%
3,320,4,2,2018-07-03 01:38:27,2018-07-03,52 Week High 3,45.08
4,320,4,2,2018-07-03 01:38:27,2018-07-03,52 Week Low 3,29.90
5,320,4,2,2018-07-03 01:38:27,2018-07-03,50-Day Moving Average 3,42.27
6,320,4,2,2018-07-03 01:38:27,2018-07-03,200-Day Moving Average 3,38.29
0,320,4,2,2018-07-03 01:38:27,2018-07-03,Avg Vol (3 month) 3,3.02M
1,320,4,2,2018-07-03 01:38:27,2018-07-03,Avg Vol (10 day) 3,2.71M
2,320,4,2,2018-07-03 01:38:27,2018-07-03,Shares Outstanding 5,382.02M
3,320,4,2,2018-07-03 01:38:27,2018-07-03,Float,381.03M
4,320,4,2,2018-07-03 01:38:27,2018-07-03,% Held by Insiders 1,0.35%
5,320,4,2,2018-07-03 01:38:27,2018-07-03,% Held by Institutions 1,96.92%
6,320,4,2,2018-07-03 01:38:27,2018-07-03,Shares Short 3,20.86M
7,320,4,2,2018-07-03 01:38:27,2018-07-03,Short Ratio 3,7.38
8,320,4,2,2018-07-03 01:38:27,2018-07-03,Short % of Float 3,6.11%
9,320,4,2,2018-07-03 01:38:27,2018-07-03,Shares Short (prior month) 3,20.43M
0,320,4,2,2018-07-03 01:38:27,2018-07-03,Forward Annual Dividend Rate 4,0.2
1,320,4,2,2018-07-03 01:38:27,2018-07-03,Forward Annual Dividend Yield 4,0.47%
2,320,4,2,2018-07-03 01:38:27,2018-07-03,Trailing Annual Dividend Rate 3,0.20
3,320,4,2,2018-07-03 01:38:27,2018-07-03,Trailing Annual Dividend Yield 3,0.46%
4,320,4,2,2018-07-03 01:38:27,2018-07-03,5 Year Average Dividend Yield 4,2.30
5,320,4,2,2018-07-03 01:38:27,2018-07-03,Payout Ratio 4,
6,320,4,2,2018-07-03 01:38:27,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,320,4,2,2018-07-03 01:38:27,2018-07-03,Ex-Dividend Date 4,"Jun 14, 2018"
8,320,4,2,2018-07-03 01:38:27,2018-07-03,Last Split Factor (new per old) 2,1109/1000
9,320,4,2,2018-07-03 01:38:27,2018-07-03,Last Split Date 3,"Jun 2, 2014"
