,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,343,2,2,2018-07-03 01:47:02,2018-07-03,Market Cap (intraday) 5,15.14B
1,343,2,2,2018-07-03 01:47:02,2018-07-03,Enterprise Value 3,15.37B
2,343,2,2,2018-07-03 01:47:02,2018-07-03,Trailing P/E,6.57
3,343,2,2,2018-07-03 01:47:02,2018-07-03,Forward P/E 1,8.72
4,343,2,2,2018-07-03 01:47:02,2018-07-03,PEG Ratio (5 yr expected) 1,1.06
5,343,2,2,2018-07-03 01:47:02,2018-07-03,Price/Sales (ttm),1.09
6,343,2,2,2018-07-03 01:47:02,2018-07-03,Price/Book (mrq),1.25
7,343,2,2,2018-07-03 01:47:02,2018-07-03,Enterprise Value/Revenue 3,1.10
8,343,2,2,2018-07-03 01:47:02,2018-07-03,Enterprise Value/EBITDA 6,5.79
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Profit Margin,16.93%
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Operating Margin (ttm),17.63%
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Return on Assets (ttm),0.63%
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Return on Equity (ttm),20.49%
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Revenue (ttm),13.93B
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Revenue Per Share (ttm),48.16
2,343,3,2,2018-07-03 01:47:02,2018-07-03,Quarterly Revenue Growth (yoy),-5.40%
3,343,3,2,2018-07-03 01:47:02,2018-07-03,Gross Profit (ttm),6.15B
4,343,3,2,2018-07-03 01:47:02,2018-07-03,EBITDA,2.65B
5,343,3,2,2018-07-03 01:47:02,2018-07-03,Net Income Avi to Common (ttm),2.36B
6,343,3,2,2018-07-03 01:47:02,2018-07-03,Diluted EPS (ttm),8.05
7,343,3,2,2018-07-03 01:47:02,2018-07-03,Quarterly Earnings Growth (yoy),13.80%
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Total Cash (mrq),3.12B
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Total Cash Per Share (mrq),10.89
2,343,3,2,2018-07-03 01:47:02,2018-07-03,Total Debt (mrq),3.32B
3,343,3,2,2018-07-03 01:47:02,2018-07-03,Total Debt/Equity (mrq),26.84
4,343,3,2,2018-07-03 01:47:02,2018-07-03,Current Ratio (mrq),2.25
5,343,3,2,2018-07-03 01:47:02,2018-07-03,Book Value Per Share (mrq),42.36
0,343,3,2,2018-07-03 01:47:02,2018-07-03,Operating Cash Flow (ttm),4.41B
1,343,3,2,2018-07-03 01:47:02,2018-07-03,Levered Free Cash Flow (ttm),3.03B
0,343,4,2,2018-07-03 01:47:02,2018-07-03,Beta,1.26
1,343,4,2,2018-07-03 01:47:02,2018-07-03,52-Week Change 3,-18.24%
2,343,4,2,2018-07-03 01:47:02,2018-07-03,S&P500 52-Week Change 3,11.91%
3,343,4,2,2018-07-03 01:47:02,2018-07-03,52 Week High 3,75.58
4,343,4,2,2018-07-03 01:47:02,2018-07-03,52 Week Low 3,52.31
5,343,4,2,2018-07-03 01:47:02,2018-07-03,50-Day Moving Average 3,56.69
6,343,4,2,2018-07-03 01:47:02,2018-07-03,200-Day Moving Average 3,62.59
0,343,4,2,2018-07-03 01:47:02,2018-07-03,Avg Vol (3 month) 3,1.62M
1,343,4,2,2018-07-03 01:47:02,2018-07-03,Avg Vol (10 day) 3,1.44M
2,343,4,2,2018-07-03 01:47:02,2018-07-03,Shares Outstanding 5,286.39M
3,343,4,2,2018-07-03 01:47:02,2018-07-03,Float,285.28M
4,343,4,2,2018-07-03 01:47:02,2018-07-03,% Held by Insiders 1,0.32%
5,343,4,2,2018-07-03 01:47:02,2018-07-03,% Held by Institutions 1,72.94%
6,343,4,2,2018-07-03 01:47:02,2018-07-03,Shares Short 3,4.88M
7,343,4,2,2018-07-03 01:47:02,2018-07-03,Short Ratio 3,3.22
8,343,4,2,2018-07-03 01:47:02,2018-07-03,Short % of Float 3,1.93%
9,343,4,2,2018-07-03 01:47:02,2018-07-03,Shares Short (prior month) 3,3.72M
0,343,4,2,2018-07-03 01:47:02,2018-07-03,Forward Annual Dividend Rate 4,1.99
1,343,4,2,2018-07-03 01:47:02,2018-07-03,Forward Annual Dividend Yield 4,3.76%
2,343,4,2,2018-07-03 01:47:02,2018-07-03,Trailing Annual Dividend Rate 3,1.93
3,343,4,2,2018-07-03 01:47:02,2018-07-03,Trailing Annual Dividend Yield 3,3.64%
4,343,4,2,2018-07-03 01:47:02,2018-07-03,5 Year Average Dividend Yield 4,2.74
5,343,4,2,2018-07-03 01:47:02,2018-07-03,Payout Ratio 4,23.98%
6,343,4,2,2018-07-03 01:47:02,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,343,4,2,2018-07-03 01:47:02,2018-07-03,Ex-Dividend Date 4,"Jun 1, 2018"
8,343,4,2,2018-07-03 01:47:02,2018-07-03,Last Split Factor (new per old) 2,
9,343,4,2,2018-07-03 01:47:02,2018-07-03,Last Split Date 3,
