,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,479,2,2,2018-07-03 02:38:00,2018-07-03,Market Cap (intraday) 5,9.31B
1,479,2,2,2018-07-03 02:38:00,2018-07-03,Enterprise Value 3,9.04B
2,479,2,2,2018-07-03 02:38:00,2018-07-03,Trailing P/E,24.18
3,479,2,2,2018-07-03 02:38:00,2018-07-03,Forward P/E 1,9.56
4,479,2,2,2018-07-03 02:38:00,2018-07-03,PEG Ratio (5 yr expected) 1,0.43
5,479,2,2,2018-07-03 02:38:00,2018-07-03,Price/Sales (ttm),1.35
6,479,2,2,2018-07-03 02:38:00,2018-07-03,Price/Book (mrq),1.12
7,479,2,2,2018-07-03 02:38:00,2018-07-03,Enterprise Value/Revenue 3,1.31
8,479,2,2,2018-07-03 02:38:00,2018-07-03,Enterprise Value/EBITDA 6,
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Profit Margin,5.63%
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Operating Margin (ttm),4.75%
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Return on Assets (ttm),0.89%
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Return on Equity (ttm),4.65%
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Revenue (ttm),6.88B
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Revenue Per Share (ttm),169.55
2,479,3,2,2018-07-03 02:38:00,2018-07-03,Quarterly Revenue Growth (yoy),16.30%
3,479,3,2,2018-07-03 02:38:00,2018-07-03,Gross Profit (ttm),491.8M
4,479,3,2,2018-07-03 02:38:00,2018-07-03,EBITDA,
5,479,3,2,2018-07-03 02:38:00,2018-07-03,Net Income Avi to Common (ttm),383.73M
6,479,3,2,2018-07-03 02:38:00,2018-07-03,Diluted EPS (ttm),9.40
7,479,3,2,2018-07-03 02:38:00,2018-07-03,Quarterly Earnings Growth (yoy),-27.90%
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Total Cash (mrq),1.04B
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Total Cash Per Share (mrq),25.36
2,479,3,2,2018-07-03 02:38:00,2018-07-03,Total Debt (mrq),633.45M
3,479,3,2,2018-07-03 02:38:00,2018-07-03,Total Debt/Equity (mrq),7.59
4,479,3,2,2018-07-03 02:38:00,2018-07-03,Current Ratio (mrq),2.08
5,479,3,2,2018-07-03 02:38:00,2018-07-03,Book Value Per Share (mrq),203.62
0,479,3,2,2018-07-03 02:38:00,2018-07-03,Operating Cash Flow (ttm),976.52M
1,479,3,2,2018-07-03 02:38:00,2018-07-03,Levered Free Cash Flow (ttm),-20.79M
0,479,4,2,2018-07-03 02:38:00,2018-07-03,Beta,0.27
1,479,4,2,2018-07-03 02:38:00,2018-07-03,52-Week Change 3,-12.68%
2,479,4,2,2018-07-03 02:38:00,2018-07-03,S&P500 52-Week Change 3,11.91%
3,479,4,2,2018-07-03 02:38:00,2018-07-03,52 Week High 3,277.17
4,479,4,2,2018-07-03 02:38:00,2018-07-03,52 Week Low 3,208.81
5,479,4,2,2018-07-03 02:38:00,2018-07-03,50-Day Moving Average 3,228.05
6,479,4,2,2018-07-03 02:38:00,2018-07-03,200-Day Moving Average 3,235.88
0,479,4,2,2018-07-03 02:38:00,2018-07-03,Avg Vol (3 month) 3,286.65k
1,479,4,2,2018-07-03 02:38:00,2018-07-03,Avg Vol (10 day) 3,312.67k
2,479,4,2,2018-07-03 02:38:00,2018-07-03,Shares Outstanding 5,40.98M
3,479,4,2,2018-07-03 02:38:00,2018-07-03,Float,30.63M
4,479,4,2,2018-07-03 02:38:00,2018-07-03,% Held by Insiders 1,25.31%
5,479,4,2,2018-07-03 02:38:00,2018-07-03,% Held by Institutions 1,96.67%
6,479,4,2,2018-07-03 02:38:00,2018-07-03,Shares Short 3,898.01k
7,479,4,2,2018-07-03 02:38:00,2018-07-03,Short Ratio 3,3.7
8,479,4,2,2018-07-03 02:38:00,2018-07-03,Short % of Float 3,2.85%
9,479,4,2,2018-07-03 02:38:00,2018-07-03,Shares Short (prior month) 3,850.53k
0,479,4,2,2018-07-03 02:38:00,2018-07-03,Forward Annual Dividend Rate 4,5.2
1,479,4,2,2018-07-03 02:38:00,2018-07-03,Forward Annual Dividend Yield 4,2.26%
2,479,4,2,2018-07-03 02:38:00,2018-07-03,Trailing Annual Dividend Rate 3,5.10
3,479,4,2,2018-07-03 02:38:00,2018-07-03,Trailing Annual Dividend Yield 3,2.21%
4,479,4,2,2018-07-03 02:38:00,2018-07-03,5 Year Average Dividend Yield 4,1.96
5,479,4,2,2018-07-03 02:38:00,2018-07-03,Payout Ratio 4,54.26%
6,479,4,2,2018-07-03 02:38:00,2018-07-03,Dividend Date 3,"Jun 13, 2018"
7,479,4,2,2018-07-03 02:38:00,2018-07-03,Ex-Dividend Date 4,"May 29, 2018"
8,479,4,2,2018-07-03 02:38:00,2018-07-03,Last Split Factor (new per old) 2,
9,479,4,2,2018-07-03 02:38:00,2018-07-03,Last Split Date 3,
