,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,503,2,2,2018-07-03 02:46:54,2018-07-03,Market Cap (intraday) 5,18.97B
1,503,2,2,2018-07-03 02:46:54,2018-07-03,Enterprise Value 3,28.29B
2,503,2,2,2018-07-03 02:46:54,2018-07-03,Trailing P/E,201.33
3,503,2,2,2018-07-03 02:46:54,2018-07-03,Forward P/E 1,98.62
4,503,2,2,2018-07-03 02:46:54,2018-07-03,PEG Ratio (5 yr expected) 1,3.98
5,503,2,2,2018-07-03 02:46:54,2018-07-03,Price/Sales (ttm),10.76
6,503,2,2,2018-07-03 02:46:54,2018-07-03,Price/Book (mrq),
7,503,2,2,2018-07-03 02:46:54,2018-07-03,Enterprise Value/Revenue 3,16.05
8,503,2,2,2018-07-03 02:46:54,2018-07-03,Enterprise Value/EBITDA 6,24.32
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Profit Margin,5.54%
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Operating Margin (ttm),29.15%
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Return on Assets (ttm),4.37%
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Return on Equity (ttm),
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Revenue (ttm),1.76B
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Revenue Per Share (ttm),14.85
2,503,3,2,2018-07-03 02:46:54,2018-07-03,Quarterly Revenue Growth (yoy),8.30%
3,503,3,2,2018-07-03 02:46:54,2018-07-03,Gross Profit (ttm),1.27B
4,503,3,2,2018-07-03 02:46:54,2018-07-03,EBITDA,1.16B
5,503,3,2,2018-07-03 02:46:54,2018-07-03,Net Income Avi to Common (ttm),97.6M
6,503,3,2,2018-07-03 02:46:54,2018-07-03,Diluted EPS (ttm),0.82
7,503,3,2,2018-07-03 02:46:54,2018-07-03,Quarterly Earnings Growth (yoy),-16.10%
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Total Cash (mrq),109.35M
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Total Cash Per Share (mrq),0.95
2,503,3,2,2018-07-03 02:46:54,2018-07-03,Total Debt (mrq),9.38B
3,503,3,2,2018-07-03 02:46:54,2018-07-03,Total Debt/Equity (mrq),
4,503,3,2,2018-07-03 02:46:54,2018-07-03,Current Ratio (mrq),1.21
5,503,3,2,2018-07-03 02:46:54,2018-07-03,Book Value Per Share (mrq),-22.22
0,503,3,2,2018-07-03 02:46:54,2018-07-03,Operating Cash Flow (ttm),824.74M
1,503,3,2,2018-07-03 02:46:54,2018-07-03,Levered Free Cash Flow (ttm),662.01M
0,503,4,2,2018-07-03 02:46:54,2018-07-03,Beta,1.01
1,503,4,2,2018-07-03 02:46:54,2018-07-03,52-Week Change 3,22.97%
2,503,4,2,2018-07-03 02:46:54,2018-07-03,S&P500 52-Week Change 3,11.91%
3,503,4,2,2018-07-03 02:46:54,2018-07-03,52 Week High 3,177.67
4,503,4,2,2018-07-03 02:46:54,2018-07-03,52 Week Low 3,133.27
5,503,4,2,2018-07-03 02:46:54,2018-07-03,50-Day Moving Average 3,159.18
6,503,4,2,2018-07-03 02:46:54,2018-07-03,200-Day Moving Average 3,163.31
0,503,4,2,2018-07-03 02:46:54,2018-07-03,Avg Vol (3 month) 3,950.25k
1,503,4,2,2018-07-03 02:46:54,2018-07-03,Avg Vol (10 day) 3,960.2k
2,503,4,2,2018-07-03 02:46:54,2018-07-03,Shares Outstanding 5,115.19M
3,503,4,2,2018-07-03 02:46:54,2018-07-03,Float,114.08M
4,503,4,2,2018-07-03 02:46:54,2018-07-03,% Held by Insiders 1,1.39%
5,503,4,2,2018-07-03 02:46:54,2018-07-03,% Held by Institutions 1,97.60%
6,503,4,2,2018-07-03 02:46:54,2018-07-03,Shares Short 3,3.5M
7,503,4,2,2018-07-03 02:46:54,2018-07-03,Short Ratio 3,4.93
8,503,4,2,2018-07-03 02:46:54,2018-07-03,Short % of Float 3,3.42%
9,503,4,2,2018-07-03 02:46:54,2018-07-03,Shares Short (prior month) 3,3.79M
0,503,4,2,2018-07-03 02:46:54,2018-07-03,Forward Annual Dividend Rate 4,
1,503,4,2,2018-07-03 02:46:54,2018-07-03,Forward Annual Dividend Yield 4,
2,503,4,2,2018-07-03 02:46:54,2018-07-03,Trailing Annual Dividend Rate 3,
3,503,4,2,2018-07-03 02:46:54,2018-07-03,Trailing Annual Dividend Yield 3,
4,503,4,2,2018-07-03 02:46:54,2018-07-03,5 Year Average Dividend Yield 4,
5,503,4,2,2018-07-03 02:46:54,2018-07-03,Payout Ratio 4,0.00%
6,503,4,2,2018-07-03 02:46:54,2018-07-03,Dividend Date 3,
7,503,4,2,2018-07-03 02:46:54,2018-07-03,Ex-Dividend Date 4,
8,503,4,2,2018-07-03 02:46:54,2018-07-03,Last Split Factor (new per old) 2,
9,503,4,2,2018-07-03 02:46:54,2018-07-03,Last Split Date 3,
