,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,504,2,2,2018-07-03 02:47:16,2018-07-03,Market Cap (intraday) 5,17.67B
1,504,2,2,2018-07-03 02:47:16,2018-07-03,Enterprise Value 3,16.15B
2,504,2,2,2018-07-03 02:47:16,2018-07-03,Trailing P/E,21.99
3,504,2,2,2018-07-03 02:47:16,2018-07-03,Forward P/E 1,12.41
4,504,2,2,2018-07-03 02:47:16,2018-07-03,PEG Ratio (5 yr expected) 1,0.91
5,504,2,2,2018-07-03 02:47:16,2018-07-03,Price/Sales (ttm),4.66
6,504,2,2,2018-07-03 02:47:16,2018-07-03,Price/Book (mrq),4.54
7,504,2,2,2018-07-03 02:47:16,2018-07-03,Enterprise Value/Revenue 3,4.26
8,504,2,2,2018-07-03 02:47:16,2018-07-03,Enterprise Value/EBITDA 6,10.27
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Fiscal Year Ends,"Sep 29, 2017"
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Most Recent Quarter (mrq),"Dec 29, 2017"
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Profit Margin,21.72%
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Operating Margin (ttm),34.68%
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Return on Assets (ttm),18.97%
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Return on Equity (ttm),21.76%
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Revenue (ttm),3.79B
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Revenue Per Share (ttm),20.61
2,504,3,2,2018-07-03 02:47:16,2018-07-03,Quarterly Revenue Growth (yoy),15.00%
3,504,3,2,2018-07-03 02:47:16,2018-07-03,Gross Profit (ttm),1.84B
4,504,3,2,2018-07-03 02:47:16,2018-07-03,EBITDA,1.57B
5,504,3,2,2018-07-03 02:47:16,2018-07-03,Net Income Avi to Common (ttm),822.8M
6,504,3,2,2018-07-03 02:47:16,2018-07-03,Diluted EPS (ttm),4.41
7,504,3,2,2018-07-03 02:47:16,2018-07-03,Quarterly Earnings Growth (yoy),-72.70%
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Total Cash (mrq),1.68B
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Total Cash Per Share (mrq),9.22
2,504,3,2,2018-07-03 02:47:16,2018-07-03,Total Debt (mrq),
3,504,3,2,2018-07-03 02:47:16,2018-07-03,Total Debt/Equity (mrq),
4,504,3,2,2018-07-03 02:47:16,2018-07-03,Current Ratio (mrq),8.36
5,504,3,2,2018-07-03 02:47:16,2018-07-03,Book Value Per Share (mrq),21.38
0,504,3,2,2018-07-03 02:47:16,2018-07-03,Operating Cash Flow (ttm),1.34B
1,504,3,2,2018-07-03 02:47:16,2018-07-03,Levered Free Cash Flow (ttm),750.61M
0,504,4,2,2018-07-03 02:47:16,2018-07-03,Beta,0.73
1,504,4,2,2018-07-03 02:47:16,2018-07-03,52-Week Change 3,1.37%
2,504,4,2,2018-07-03 02:47:16,2018-07-03,S&P500 52-Week Change 3,11.91%
3,504,4,2,2018-07-03 02:47:16,2018-07-03,52 Week High 3,117.65
4,504,4,2,2018-07-03 02:47:16,2018-07-03,52 Week Low 3,86.13
5,504,4,2,2018-07-03 02:47:16,2018-07-03,50-Day Moving Average 3,99.47
6,504,4,2,2018-07-03 02:47:16,2018-07-03,200-Day Moving Average 3,100.14
0,504,4,2,2018-07-03 02:47:16,2018-07-03,Avg Vol (3 month) 3,2.03M
1,504,4,2,2018-07-03 02:47:16,2018-07-03,Avg Vol (10 day) 3,1.72M
2,504,4,2,2018-07-03 02:47:16,2018-07-03,Shares Outstanding 5,182.08M
3,504,4,2,2018-07-03 02:47:16,2018-07-03,Float,181.87M
4,504,4,2,2018-07-03 02:47:16,2018-07-03,% Held by Insiders 1,0.32%
5,504,4,2,2018-07-03 02:47:16,2018-07-03,% Held by Institutions 1,84.57%
6,504,4,2,2018-07-03 02:47:16,2018-07-03,Shares Short 3,9.25M
7,504,4,2,2018-07-03 02:47:16,2018-07-03,Short Ratio 3,3.85
8,504,4,2,2018-07-03 02:47:16,2018-07-03,Short % of Float 3,5.75%
9,504,4,2,2018-07-03 02:47:16,2018-07-03,Shares Short (prior month) 3,8.36M
0,504,4,2,2018-07-03 02:47:16,2018-07-03,Forward Annual Dividend Rate 4,1.28
1,504,4,2,2018-07-03 02:47:16,2018-07-03,Forward Annual Dividend Yield 4,1.45%
2,504,4,2,2018-07-03 02:47:16,2018-07-03,Trailing Annual Dividend Rate 3,1.20
3,504,4,2,2018-07-03 02:47:16,2018-07-03,Trailing Annual Dividend Yield 3,1.24%
4,504,4,2,2018-07-03 02:47:16,2018-07-03,5 Year Average Dividend Yield 4,
5,504,4,2,2018-07-03 02:47:16,2018-07-03,Payout Ratio 4,27.21%
6,504,4,2,2018-07-03 02:47:16,2018-07-03,Dividend Date 3,"Jun 12, 2018"
7,504,4,2,2018-07-03 02:47:16,2018-07-03,Ex-Dividend Date 4,"Feb 21, 2018"
8,504,4,2,2018-07-03 02:47:16,2018-07-03,Last Split Factor (new per old) 2,2/1
9,504,4,2,2018-07-03 02:47:16,2018-07-03,Last Split Date 3,"Apr 20, 2000"
