,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,398,2,2,2018-07-03 02:07:23,2018-07-03,Market Cap (intraday) 5,235.98B
1,398,2,2,2018-07-03 02:07:23,2018-07-03,Enterprise Value 3,312.15B
2,398,2,2,2018-07-03 02:07:23,2018-07-03,Trailing P/E,6.50
3,398,2,2,2018-07-03 02:07:23,2018-07-03,Forward P/E 1,9.18
4,398,2,2,2018-07-03 02:07:23,2018-07-03,PEG Ratio (5 yr expected) 1,0.81
5,398,2,2,2018-07-03 02:07:23,2018-07-03,Price/Sales (ttm),1.48
6,398,2,2,2018-07-03 02:07:23,2018-07-03,Price/Book (mrq),1.36
7,398,2,2,2018-07-03 02:07:23,2018-07-03,Enterprise Value/Revenue 3,1.96
8,398,2,2,2018-07-03 02:07:23,2018-07-03,Enterprise Value/EBITDA 6,6.93
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Profit Margin,19.25%
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Operating Margin (ttm),14.80%
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Return on Assets (ttm),3.43%
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Return on Equity (ttm),22.81%
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Revenue (ttm),159.22B
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Revenue Per Share (ttm),25.84
2,398,3,2,2018-07-03 02:07:23,2018-07-03,Quarterly Revenue Growth (yoy),-3.40%
3,398,3,2,2018-07-03 02:07:23,2018-07-03,Gross Profit (ttm),83.17B
4,398,3,2,2018-07-03 02:07:23,2018-07-03,EBITDA,45.01B
5,398,3,2,2018-07-03 02:07:23,2018-07-03,Net Income Avi to Common (ttm),30.64B
6,398,3,2,2018-07-03 02:07:23,2018-07-03,Diluted EPS (ttm),4.96
7,398,3,2,2018-07-03 02:07:23,2018-07-03,Quarterly Earnings Growth (yoy),34.40%
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Total Cash (mrq),48.87B
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Total Cash Per Share (mrq),7.96
2,398,3,2,2018-07-03 02:07:23,2018-07-03,Total Debt (mrq),163.83B
3,398,3,2,2018-07-03 02:07:23,2018-07-03,Total Debt/Equity (mrq),111.39
4,398,3,2,2018-07-03 02:07:23,2018-07-03,Current Ratio (mrq),1.11
5,398,3,2,2018-07-03 02:07:23,2018-07-03,Book Value Per Share (mrq),23.74
0,398,3,2,2018-07-03 02:07:23,2018-07-03,Operating Cash Flow (ttm),39.13B
1,398,3,2,2018-07-03 02:07:23,2018-07-03,Levered Free Cash Flow (ttm),18.03B
0,398,4,2,2018-07-03 02:07:23,2018-07-03,Beta,0.39
1,398,4,2,2018-07-03 02:07:23,2018-07-03,52-Week Change 3,-15.74%
2,398,4,2,2018-07-03 02:07:23,2018-07-03,S&P500 52-Week Change 3,11.91%
3,398,4,2,2018-07-03 02:07:23,2018-07-03,52 Week High 3,39.80
4,398,4,2,2018-07-03 02:07:23,2018-07-03,52 Week Low 3,31.17
5,398,4,2,2018-07-03 02:07:23,2018-07-03,50-Day Moving Average 3,32.49
6,398,4,2,2018-07-03 02:07:23,2018-07-03,200-Day Moving Average 3,35.29
0,398,4,2,2018-07-03 02:07:23,2018-07-03,Avg Vol (3 month) 3,39.4M
1,398,4,2,2018-07-03 02:07:23,2018-07-03,Avg Vol (10 day) 3,47.77M
2,398,4,2,2018-07-03 02:07:23,2018-07-03,Shares Outstanding 5,7.33B
3,398,4,2,2018-07-03 02:07:23,2018-07-03,Float,6.14B
4,398,4,2,2018-07-03 02:07:23,2018-07-03,% Held by Insiders 1,0.06%
5,398,4,2,2018-07-03 02:07:23,2018-07-03,% Held by Institutions 1,47.63%
6,398,4,2,2018-07-03 02:07:23,2018-07-03,Shares Short 3,220.56M
7,398,4,2,2018-07-03 02:07:23,2018-07-03,Short Ratio 3,5.17
8,398,4,2,2018-07-03 02:07:23,2018-07-03,Short % of Float 3,3.59%
9,398,4,2,2018-07-03 02:07:23,2018-07-03,Shares Short (prior month) 3,193.91M
0,398,4,2,2018-07-03 02:07:23,2018-07-03,Forward Annual Dividend Rate 4,2
1,398,4,2,2018-07-03 02:07:23,2018-07-03,Forward Annual Dividend Yield 4,6.23%
2,398,4,2,2018-07-03 02:07:23,2018-07-03,Trailing Annual Dividend Rate 3,1.98
3,398,4,2,2018-07-03 02:07:23,2018-07-03,Trailing Annual Dividend Yield 3,6.17%
4,398,4,2,2018-07-03 02:07:23,2018-07-03,5 Year Average Dividend Yield 4,5.21
5,398,4,2,2018-07-03 02:07:23,2018-07-03,Payout Ratio 4,40.00%
6,398,4,2,2018-07-03 02:07:23,2018-07-03,Dividend Date 3,"Aug 1, 2018"
7,398,4,2,2018-07-03 02:07:23,2018-07-03,Ex-Dividend Date 4,"Apr 9, 2018"
8,398,4,2,2018-07-03 02:07:23,2018-07-03,Last Split Factor (new per old) 2,2/1
9,398,4,2,2018-07-03 02:07:23,2018-07-03,Last Split Date 3,"Mar 20, 1998"
