,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,404,2,2,2018-07-03 02:09:40,2018-07-03,Market Cap (intraday) 5,40.4B
1,404,2,2,2018-07-03 02:09:40,2018-07-03,Enterprise Value 3,47.74B
2,404,2,2,2018-07-03 02:09:40,2018-07-03,Trailing P/E,14.21
3,404,2,2,2018-07-03 02:09:40,2018-07-03,Forward P/E 1,13.85
4,404,2,2,2018-07-03 02:09:40,2018-07-03,PEG Ratio (5 yr expected) 1,2.22
5,404,2,2,2018-07-03 02:09:40,2018-07-03,Price/Sales (ttm),0.56
6,404,2,2,2018-07-03 02:09:40,2018-07-03,Price/Book (mrq),3.51
7,404,2,2,2018-07-03 02:09:40,2018-07-03,Enterprise Value/Revenue 3,0.66
8,404,2,2,2018-07-03 02:09:40,2018-07-03,Enterprise Value/EBITDA 6,6.97
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Fiscal Year Ends,"Feb 3, 2018"
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Most Recent Quarter (mrq),"Feb 3, 2018"
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Profit Margin,4.08%
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Operating Margin (ttm),6.13%
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Return on Assets (ttm),7.20%
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Return on Equity (ttm),25.84%
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Revenue (ttm),71.88B
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Revenue Per Share (ttm),131.45
2,404,3,2,2018-07-03 02:09:40,2018-07-03,Quarterly Revenue Growth (yoy),10.00%
3,404,3,2,2018-07-03 02:09:40,2018-07-03,Gross Profit (ttm),20.75B
4,404,3,2,2018-07-03 02:09:40,2018-07-03,EBITDA,6.85B
5,404,3,2,2018-07-03 02:09:40,2018-07-03,Net Income Avi to Common (ttm),2.93B
6,404,3,2,2018-07-03 02:09:40,2018-07-03,Diluted EPS (ttm),5.33
7,404,3,2,2018-07-03 02:09:40,2018-07-03,Quarterly Earnings Growth (yoy),34.80%
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Total Cash (mrq),2.64B
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Total Cash Per Share (mrq),4.91
2,404,3,2,2018-07-03 02:09:40,2018-07-03,Total Debt (mrq),11.59B
3,404,3,2,2018-07-03 02:09:40,2018-07-03,Total Debt/Equity (mrq),98.96
4,404,3,2,2018-07-03 02:09:40,2018-07-03,Current Ratio (mrq),0.95
5,404,3,2,2018-07-03 02:09:40,2018-07-03,Book Value Per Share (mrq),21.62
0,404,3,2,2018-07-03 02:09:40,2018-07-03,Operating Cash Flow (ttm),6.92B
1,404,3,2,2018-07-03 02:09:40,2018-07-03,Levered Free Cash Flow (ttm),3.94B
0,404,4,2,2018-07-03 02:09:40,2018-07-03,Beta,0.56
1,404,4,2,2018-07-03 02:09:40,2018-07-03,52-Week Change 3,44.58%
2,404,4,2,2018-07-03 02:09:40,2018-07-03,S&P500 52-Week Change 3,11.91%
3,404,4,2,2018-07-03 02:09:40,2018-07-03,52 Week High 3,79.59
4,404,4,2,2018-07-03 02:09:40,2018-07-03,52 Week Low 3,50.04
5,404,4,2,2018-07-03 02:09:40,2018-07-03,50-Day Moving Average 3,75.65
6,404,4,2,2018-07-03 02:09:40,2018-07-03,200-Day Moving Average 3,72.50
0,404,4,2,2018-07-03 02:09:40,2018-07-03,Avg Vol (3 month) 3,4.98M
1,404,4,2,2018-07-03 02:09:40,2018-07-03,Avg Vol (10 day) 3,4.24M
2,404,4,2,2018-07-03 02:09:40,2018-07-03,Shares Outstanding 5,533.14M
3,404,4,2,2018-07-03 02:09:40,2018-07-03,Float,537.85M
4,404,4,2,2018-07-03 02:09:40,2018-07-03,% Held by Insiders 1,0.14%
5,404,4,2,2018-07-03 02:09:40,2018-07-03,% Held by Institutions 1,90.31%
6,404,4,2,2018-07-03 02:09:40,2018-07-03,Shares Short 3,52.28M
7,404,4,2,2018-07-03 02:09:40,2018-07-03,Short Ratio 3,7.48
8,404,4,2,2018-07-03 02:09:40,2018-07-03,Short % of Float 3,9.48%
9,404,4,2,2018-07-03 02:09:40,2018-07-03,Shares Short (prior month) 3,53.69M
0,404,4,2,2018-07-03 02:09:40,2018-07-03,Forward Annual Dividend Rate 4,2.48
1,404,4,2,2018-07-03 02:09:40,2018-07-03,Forward Annual Dividend Yield 4,3.45%
2,404,4,2,2018-07-03 02:09:40,2018-07-03,Trailing Annual Dividend Rate 3,2.44
3,404,4,2,2018-07-03 02:09:40,2018-07-03,Trailing Annual Dividend Yield 3,3.21%
4,404,4,2,2018-07-03 02:09:40,2018-07-03,5 Year Average Dividend Yield 4,3.04
5,404,4,2,2018-07-03 02:09:40,2018-07-03,Payout Ratio 4,45.86%
6,404,4,2,2018-07-03 02:09:40,2018-07-03,Dividend Date 3,"Sep 10, 2018"
7,404,4,2,2018-07-03 02:09:40,2018-07-03,Ex-Dividend Date 4,"May 15, 2018"
8,404,4,2,2018-07-03 02:09:40,2018-07-03,Last Split Factor (new per old) 2,2/1
9,404,4,2,2018-07-03 02:09:40,2018-07-03,Last Split Date 3,"Jul 20, 2000"
