,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,551,2,2,2018-07-03 03:04:43,2018-07-03,Market Cap (intraday) 5,9.65B
1,551,2,2,2018-07-03 03:04:43,2018-07-03,Enterprise Value 3,7.88B
2,551,2,2,2018-07-03 03:04:43,2018-07-03,Trailing P/E,
3,551,2,2,2018-07-03 03:04:43,2018-07-03,Forward P/E 1,72.65
4,551,2,2,2018-07-03 03:04:43,2018-07-03,PEG Ratio (5 yr expected) 1,4.03
5,551,2,2,2018-07-03 03:04:43,2018-07-03,Price/Sales (ttm),1.94
6,551,2,2,2018-07-03 03:04:43,2018-07-03,Price/Book (mrq),4.93
7,551,2,2,2018-07-03 03:04:43,2018-07-03,Enterprise Value/Revenue 3,1.58
8,551,2,2,2018-07-03 03:04:43,2018-07-03,Enterprise Value/EBITDA 6,23.82
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Most Recent Quarter (mrq),"Dec 31, 2017"
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Profit Margin,-0.97%
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Operating Margin (ttm),3.15%
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Return on Assets (ttm),2.57%
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Return on Equity (ttm),-2.38%
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Revenue (ttm),4.98B
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Revenue Per Share (ttm),11.29
2,551,3,2,2018-07-03 03:04:43,2018-07-03,Quarterly Revenue Growth (yoy),4.60%
3,551,3,2,2018-07-03 03:04:43,2018-07-03,Gross Profit (ttm),2.24B
4,551,3,2,2018-07-03 03:04:43,2018-07-03,EBITDA,330.72M
5,551,3,2,2018-07-03 03:04:43,2018-07-03,Net Income Avi to Common (ttm),-48.26M
6,551,3,2,2018-07-03 03:04:43,2018-07-03,Diluted EPS (ttm),-0.11
7,551,3,2,2018-07-03 03:04:43,2018-07-03,Quarterly Earnings Growth (yoy),
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Total Cash (mrq),312.48M
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Total Cash Per Share (mrq),0.71
2,551,3,2,2018-07-03 03:04:43,2018-07-03,Total Debt (mrq),917.05M
3,551,3,2,2018-07-03 03:04:43,2018-07-03,Total Debt/Equity (mrq),45.43
4,551,3,2,2018-07-03 03:04:43,2018-07-03,Current Ratio (mrq),2.20
5,551,3,2,2018-07-03 03:04:43,2018-07-03,Book Value Per Share (mrq),4.57
0,551,3,2,2018-07-03 03:04:43,2018-07-03,Operating Cash Flow (ttm),234.06M
1,551,3,2,2018-07-03 03:04:43,2018-07-03,Levered Free Cash Flow (ttm),-52.34M
0,551,4,2,2018-07-03 03:04:43,2018-07-03,Beta,-0.42
1,551,4,2,2018-07-03 03:04:43,2018-07-03,52-Week Change 3,0.90%
2,551,4,2,2018-07-03 03:04:43,2018-07-03,S&P500 52-Week Change 3,11.91%
3,551,4,2,2018-07-03 03:04:43,2018-07-03,52 Week High 3,24.69
4,551,4,2,2018-07-03 03:04:43,2018-07-03,52 Week Low 3,11.40
5,551,4,2,2018-07-03 03:04:43,2018-07-03,50-Day Moving Average 3,22.02
6,551,4,2,2018-07-03 03:04:43,2018-07-03,200-Day Moving Average 3,17.55
0,551,4,2,2018-07-03 03:04:43,2018-07-03,Avg Vol (3 month) 3,5.88M
1,551,4,2,2018-07-03 03:04:43,2018-07-03,Avg Vol (10 day) 3,4.93M
2,551,4,2,2018-07-03 03:04:43,2018-07-03,Shares Outstanding 5,185.98M
3,551,4,2,2018-07-03 03:04:43,2018-07-03,Float,370.48M
4,551,4,2,2018-07-03 03:04:43,2018-07-03,% Held by Insiders 1,0.56%
5,551,4,2,2018-07-03 03:04:43,2018-07-03,% Held by Institutions 1,91.61%
6,551,4,2,2018-07-03 03:04:43,2018-07-03,Shares Short 3,43k
7,551,4,2,2018-07-03 03:04:43,2018-07-03,Short Ratio 3,
8,551,4,2,2018-07-03 03:04:43,2018-07-03,Short % of Float 3,0.00%
9,551,4,2,2018-07-03 03:04:43,2018-07-03,Shares Short (prior month) 3,
0,551,4,2,2018-07-03 03:04:43,2018-07-03,Forward Annual Dividend Rate 4,
1,551,4,2,2018-07-03 03:04:43,2018-07-03,Forward Annual Dividend Yield 4,
2,551,4,2,2018-07-03 03:04:43,2018-07-03,Trailing Annual Dividend Rate 3,
3,551,4,2,2018-07-03 03:04:43,2018-07-03,Trailing Annual Dividend Yield 3,
4,551,4,2,2018-07-03 03:04:43,2018-07-03,5 Year Average Dividend Yield 4,
5,551,4,2,2018-07-03 03:04:43,2018-07-03,Payout Ratio 4,0.00%
6,551,4,2,2018-07-03 03:04:43,2018-07-03,Dividend Date 3,
7,551,4,2,2018-07-03 03:04:43,2018-07-03,Ex-Dividend Date 4,
8,551,4,2,2018-07-03 03:04:43,2018-07-03,Last Split Factor (new per old) 2,2/1
9,551,4,2,2018-07-03 03:04:43,2018-07-03,Last Split Date 3,"Apr 8, 2016"
