,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,431,2,2,2018-07-03 02:20:01,2018-07-03,Market Cap (intraday) 5,43.22B
1,431,2,2,2018-07-03 02:20:01,2018-07-03,Enterprise Value 3,41.43B
2,431,2,2,2018-07-03 02:20:01,2018-07-03,Trailing P/E,191.87
3,431,2,2,2018-07-03 02:20:01,2018-07-03,Forward P/E 1,37.20
4,431,2,2,2018-07-03 02:20:01,2018-07-03,PEG Ratio (5 yr expected) 1,0.80
5,431,2,2,2018-07-03 02:20:01,2018-07-03,Price/Sales (ttm),17.90
6,431,2,2,2018-07-03 02:20:01,2018-07-03,Price/Book (mrq),18.00
7,431,2,2,2018-07-03 02:20:01,2018-07-03,Enterprise Value/Revenue 3,17.16
8,431,2,2,2018-07-03 02:20:01,2018-07-03,Enterprise Value/EBITDA 6,89.34
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Profit Margin,9.36%
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Operating Margin (ttm),16.60%
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Return on Assets (ttm),7.26%
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Return on Equity (ttm),3.37%
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Revenue (ttm),2.41B
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Revenue Per Share (ttm),9.63
2,431,3,2,2018-07-03 02:20:01,2018-07-03,Quarterly Revenue Growth (yoy),-10.30%
3,431,3,2,2018-07-03 02:20:01,2018-07-03,Gross Profit (ttm),1.05B
4,431,3,2,2018-07-03 02:20:01,2018-07-03,EBITDA,463.7M
5,431,3,2,2018-07-03 02:20:01,2018-07-03,Net Income Avi to Common (ttm),226M
6,431,3,2,2018-07-03 02:20:01,2018-07-03,Diluted EPS (ttm),0.88
7,431,3,2,2018-07-03 02:20:01,2018-07-03,Quarterly Earnings Growth (yoy),-15.10%
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Total Cash (mrq),2.48B
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Total Cash Per Share (mrq),9.72
2,431,3,2,2018-07-03 02:20:01,2018-07-03,Total Debt (mrq),595.12M
3,431,3,2,2018-07-03 02:20:01,2018-07-03,Total Debt/Equity (mrq),24.48
4,431,3,2,2018-07-03 02:20:01,2018-07-03,Current Ratio (mrq),3.68
5,431,3,2,2018-07-03 02:20:01,2018-07-03,Book Value Per Share (mrq),9.42
0,431,3,2,2018-07-03 02:20:01,2018-07-03,Operating Cash Flow (ttm),831.91M
1,431,3,2,2018-07-03 02:20:01,2018-07-03,Levered Free Cash Flow (ttm),541.6M
0,431,4,2,2018-07-03 02:20:01,2018-07-03,Beta,1.92
1,431,4,2,2018-07-03 02:20:01,2018-07-03,52-Week Change 3,32.54%
2,431,4,2,2018-07-03 02:20:01,2018-07-03,S&P500 52-Week Change 3,11.91%
3,431,4,2,2018-07-03 02:20:01,2018-07-03,52 Week High 3,178.15
4,431,4,2,2018-07-03 02:20:01,2018-07-03,52 Week Low 3,125.50
5,431,4,2,2018-07-03 02:20:01,2018-07-03,50-Day Moving Average 3,153.96
6,431,4,2,2018-07-03 02:20:01,2018-07-03,200-Day Moving Average 3,158.16
0,431,4,2,2018-07-03 02:20:01,2018-07-03,Avg Vol (3 month) 3,1.65M
1,431,4,2,2018-07-03 02:20:01,2018-07-03,Avg Vol (10 day) 3,2.6M
2,431,4,2,2018-07-03 02:20:01,2018-07-03,Shares Outstanding 5,254.83M
3,431,4,2,2018-07-03 02:20:01,2018-07-03,Float,254.26M
4,431,4,2,2018-07-03 02:20:01,2018-07-03,% Held by Insiders 1,0.44%
5,431,4,2,2018-07-03 02:20:01,2018-07-03,% Held by Institutions 1,97.31%
6,431,4,2,2018-07-03 02:20:01,2018-07-03,Shares Short 3,3.27M
7,431,4,2,2018-07-03 02:20:01,2018-07-03,Short Ratio 3,2.07
8,431,4,2,2018-07-03 02:20:01,2018-07-03,Short % of Float 3,1.44%
9,431,4,2,2018-07-03 02:20:01,2018-07-03,Shares Short (prior month) 3,3.84M
0,431,4,2,2018-07-03 02:20:01,2018-07-03,Forward Annual Dividend Rate 4,
1,431,4,2,2018-07-03 02:20:01,2018-07-03,Forward Annual Dividend Yield 4,
2,431,4,2,2018-07-03 02:20:01,2018-07-03,Trailing Annual Dividend Rate 3,
3,431,4,2,2018-07-03 02:20:01,2018-07-03,Trailing Annual Dividend Yield 3,
4,431,4,2,2018-07-03 02:20:01,2018-07-03,5 Year Average Dividend Yield 4,
5,431,4,2,2018-07-03 02:20:01,2018-07-03,Payout Ratio 4,0.00%
6,431,4,2,2018-07-03 02:20:01,2018-07-03,Dividend Date 3,
7,431,4,2,2018-07-03 02:20:01,2018-07-03,Ex-Dividend Date 4,
8,431,4,2,2018-07-03 02:20:01,2018-07-03,Last Split Factor (new per old) 2,2/1
9,431,4,2,2018-07-03 02:20:01,2018-07-03,Last Split Date 3,"Aug 24, 2000"
