,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,424,2,2,2018-07-03 02:17:18,2018-07-03,Market Cap (intraday) 5,15.18B
1,424,2,2,2018-07-03 02:17:18,2018-07-03,Enterprise Value 3,13.86B
2,424,2,2,2018-07-03 02:17:18,2018-07-03,Trailing P/E,599.94
3,424,2,2,2018-07-03 02:17:18,2018-07-03,Forward P/E 1,21.41
4,424,2,2,2018-07-03 02:17:18,2018-07-03,PEG Ratio (5 yr expected) 1,2.29
5,424,2,2,2018-07-03 02:17:18,2018-07-03,Price/Sales (ttm),6.48
6,424,2,2,2018-07-03 02:17:18,2018-07-03,Price/Book (mrq),7.18
7,424,2,2,2018-07-03 02:17:18,2018-07-03,Enterprise Value/Revenue 3,5.92
8,424,2,2,2018-07-03 02:17:18,2018-07-03,Enterprise Value/EBITDA 6,17.06
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Profit Margin,1.14%
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Operating Margin (ttm),29.93%
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Return on Assets (ttm),9.42%
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Return on Equity (ttm),1.18%
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Revenue (ttm),2.34B
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Revenue Per Share (ttm),29.46
2,424,3,2,2018-07-03 02:17:18,2018-07-03,Quarterly Revenue Growth (yoy),6.60%
3,424,3,2,2018-07-03 02:17:18,2018-07-03,Gross Profit (ttm),1.36B
4,424,3,2,2018-07-03 02:17:18,2018-07-03,EBITDA,812.65M
5,424,3,2,2018-07-03 02:17:18,2018-07-03,Net Income Avi to Common (ttm),26.7M
6,424,3,2,2018-07-03 02:17:18,2018-07-03,Diluted EPS (ttm),0.32
7,424,3,2,2018-07-03 02:17:18,2018-07-03,Quarterly Earnings Growth (yoy),6.10%
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Total Cash (mrq),2.55B
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Total Cash Per Share (mrq),32.57
2,424,3,2,2018-07-03 02:17:18,2018-07-03,Total Debt (mrq),1.25B
3,424,3,2,2018-07-03 02:17:18,2018-07-03,Total Debt/Equity (mrq),59.01
4,424,3,2,2018-07-03 02:17:18,2018-07-03,Current Ratio (mrq),6.43
5,424,3,2,2018-07-03 02:17:18,2018-07-03,Book Value Per Share (mrq),27.00
0,424,3,2,2018-07-03 02:17:18,2018-07-03,Operating Cash Flow (ttm),699.27M
1,424,3,2,2018-07-03 02:17:18,2018-07-03,Levered Free Cash Flow (ttm),517.81M
0,424,4,2,2018-07-03 02:17:18,2018-07-03,Beta,1.47
1,424,4,2,2018-07-03 02:17:18,2018-07-03,52-Week Change 3,6.07%
2,424,4,2,2018-07-03 02:17:18,2018-07-03,S&P500 52-Week Change 3,11.91%
3,424,4,2,2018-07-03 02:17:18,2018-07-03,52 Week High 3,220.20
4,424,4,2,2018-07-03 02:17:18,2018-07-03,52 Week Low 3,171.32
5,424,4,2,2018-07-03 02:17:18,2018-07-03,50-Day Moving Average 3,196.21
6,424,4,2,2018-07-03 02:17:18,2018-07-03,200-Day Moving Average 3,201.23
0,424,4,2,2018-07-03 02:17:18,2018-07-03,Avg Vol (3 month) 3,622.68k
1,424,4,2,2018-07-03 02:17:18,2018-07-03,Avg Vol (10 day) 3,553.83k
2,424,4,2,2018-07-03 02:17:18,2018-07-03,Shares Outstanding 5,78.34M
3,424,4,2,2018-07-03 02:17:18,2018-07-03,Float,74.9M
4,424,4,2,2018-07-03 02:17:18,2018-07-03,% Held by Insiders 1,4.48%
5,424,4,2,2018-07-03 02:17:18,2018-07-03,% Held by Institutions 1,96.45%
6,424,4,2,2018-07-03 02:17:18,2018-07-03,Shares Short 3,3.38M
7,424,4,2,2018-07-03 02:17:18,2018-07-03,Short Ratio 3,5
8,424,4,2,2018-07-03 02:17:18,2018-07-03,Short % of Float 3,4.33%
9,424,4,2,2018-07-03 02:17:18,2018-07-03,Shares Short (prior month) 3,2.6M
0,424,4,2,2018-07-03 02:17:18,2018-07-03,Forward Annual Dividend Rate 4,
1,424,4,2,2018-07-03 02:17:18,2018-07-03,Forward Annual Dividend Yield 4,
2,424,4,2,2018-07-03 02:17:18,2018-07-03,Trailing Annual Dividend Rate 3,
3,424,4,2,2018-07-03 02:17:18,2018-07-03,Trailing Annual Dividend Yield 3,
4,424,4,2,2018-07-03 02:17:18,2018-07-03,5 Year Average Dividend Yield 4,
5,424,4,2,2018-07-03 02:17:18,2018-07-03,Payout Ratio 4,0.00%
6,424,4,2,2018-07-03 02:17:18,2018-07-03,Dividend Date 3,
7,424,4,2,2018-07-03 02:17:18,2018-07-03,Ex-Dividend Date 4,"Nov 26, 1996"
8,424,4,2,2018-07-03 02:17:18,2018-07-03,Last Split Factor (new per old) 2,2/1
9,424,4,2,2018-07-03 02:17:18,2018-07-03,Last Split Date 3,"Aug 28, 2000"
