,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,426,2,2,2018-07-03 02:18:04,2018-07-03,Market Cap (intraday) 5,23.35B
1,426,2,2,2018-07-03 02:18:04,2018-07-03,Enterprise Value 3,29.37B
2,426,2,2,2018-07-03 02:18:04,2018-07-03,Trailing P/E,116.48
3,426,2,2,2018-07-03 02:18:04,2018-07-03,Forward P/E 1,5.78
4,426,2,2,2018-07-03 02:18:04,2018-07-03,PEG Ratio (5 yr expected) 1,0.24
5,426,2,2,2018-07-03 02:18:04,2018-07-03,Price/Sales (ttm),1.15
6,426,2,2,2018-07-03 02:18:04,2018-07-03,Price/Book (mrq),2.06
7,426,2,2,2018-07-03 02:18:04,2018-07-03,Enterprise Value/Revenue 3,1.44
8,426,2,2,2018-07-03 02:18:04,2018-07-03,Enterprise Value/EBITDA 6,5.13
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Fiscal Year Ends,"Jun 30, 2017"
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Most Recent Quarter (mrq),"Mar 30, 2018"
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Profit Margin,0.98%
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Operating Margin (ttm),17.91%
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Return on Assets (ttm),7.80%
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Return on Equity (ttm),1.78%
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Revenue (ttm),20.37B
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Revenue Per Share (ttm),69.12
2,426,3,2,2018-07-03 02:18:04,2018-07-03,Quarterly Revenue Growth (yoy),7.80%
3,426,3,2,2018-07-03 02:18:04,2018-07-03,Gross Profit (ttm),6.07B
4,426,3,2,2018-07-03 02:18:04,2018-07-03,EBITDA,5.72B
5,426,3,2,2018-07-03 02:18:04,2018-07-03,Net Income Avi to Common (ttm),199M
6,426,3,2,2018-07-03 02:18:04,2018-07-03,Diluted EPS (ttm),0.67
7,426,3,2,2018-07-03 02:18:04,2018-07-03,Quarterly Earnings Growth (yoy),-75.40%
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Total Cash (mrq),5B
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Total Cash Per Share (mrq),16.7
2,426,3,2,2018-07-03 02:18:04,2018-07-03,Total Debt (mrq),11.2B
3,426,3,2,2018-07-03 02:18:04,2018-07-03,Total Debt/Equity (mrq),99.11
4,426,3,2,2018-07-03 02:18:04,2018-07-03,Current Ratio (mrq),2.39
5,426,3,2,2018-07-03 02:18:04,2018-07-03,Book Value Per Share (mrq),37.79
0,426,3,2,2018-07-03 02:18:04,2018-07-03,Operating Cash Flow (ttm),4.28B
1,426,3,2,2018-07-03 02:18:04,2018-07-03,Levered Free Cash Flow (ttm),3.2B
0,426,4,2,2018-07-03 02:18:04,2018-07-03,Beta,0.80
1,426,4,2,2018-07-03 02:18:04,2018-07-03,52-Week Change 3,-9.24%
2,426,4,2,2018-07-03 02:18:04,2018-07-03,S&P500 52-Week Change 3,11.91%
3,426,4,2,2018-07-03 02:18:04,2018-07-03,52 Week High 3,106.96
4,426,4,2,2018-07-03 02:18:04,2018-07-03,52 Week Low 3,75.96
5,426,4,2,2018-07-03 02:18:04,2018-07-03,50-Day Moving Average 3,83.03
6,426,4,2,2018-07-03 02:18:04,2018-07-03,200-Day Moving Average 3,86.16
0,426,4,2,2018-07-03 02:18:04,2018-07-03,Avg Vol (3 month) 3,3.89M
1,426,4,2,2018-07-03 02:18:04,2018-07-03,Avg Vol (10 day) 3,3.47M
2,426,4,2,2018-07-03 02:18:04,2018-07-03,Shares Outstanding 5,299.24M
3,426,4,2,2018-07-03 02:18:04,2018-07-03,Float,298.09M
4,426,4,2,2018-07-03 02:18:04,2018-07-03,% Held by Insiders 1,0.31%
5,426,4,2,2018-07-03 02:18:04,2018-07-03,% Held by Institutions 1,86.96%
6,426,4,2,2018-07-03 02:18:04,2018-07-03,Shares Short 3,7.88M
7,426,4,2,2018-07-03 02:18:04,2018-07-03,Short Ratio 3,1.8
8,426,4,2,2018-07-03 02:18:04,2018-07-03,Short % of Float 3,2.97%
9,426,4,2,2018-07-03 02:18:04,2018-07-03,Shares Short (prior month) 3,8.45M
0,426,4,2,2018-07-03 02:18:04,2018-07-03,Forward Annual Dividend Rate 4,2
1,426,4,2,2018-07-03 02:18:04,2018-07-03,Forward Annual Dividend Yield 4,2.58%
2,426,4,2,2018-07-03 02:18:04,2018-07-03,Trailing Annual Dividend Rate 3,2.00
3,426,4,2,2018-07-03 02:18:04,2018-07-03,Trailing Annual Dividend Yield 3,2.58%
4,426,4,2,2018-07-03 02:18:04,2018-07-03,5 Year Average Dividend Yield 4,2.35
5,426,4,2,2018-07-03 02:18:04,2018-07-03,Payout Ratio 4,298.51%
6,426,4,2,2018-07-03 02:18:04,2018-07-03,Dividend Date 3,"Jul 16, 2018"
7,426,4,2,2018-07-03 02:18:04,2018-07-03,Ex-Dividend Date 4,"Jun 28, 2018"
8,426,4,2,2018-07-03 02:18:04,2018-07-03,Last Split Factor (new per old) 2,2/1
9,426,4,2,2018-07-03 02:18:04,2018-07-03,Last Split Date 3,"Jun 4, 1997"
