,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,442,2,2,2018-07-03 02:24:10,2018-07-03,Market Cap (intraday) 5,9.42B
1,442,2,2,2018-07-03 02:24:10,2018-07-03,Enterprise Value 3,10.98B
2,442,2,2,2018-07-03 02:24:10,2018-07-03,Trailing P/E,
3,442,2,2,2018-07-03 02:24:10,2018-07-03,Forward P/E 1,10.48
4,442,2,2,2018-07-03 02:24:10,2018-07-03,PEG Ratio (5 yr expected) 1,2.59
5,442,2,2,2018-07-03 02:24:10,2018-07-03,Price/Sales (ttm),1.70
6,442,2,2,2018-07-03 02:24:10,2018-07-03,Price/Book (mrq),
7,442,2,2,2018-07-03 02:24:10,2018-07-03,Enterprise Value/Revenue 3,1.99
8,442,2,2,2018-07-03 02:24:10,2018-07-03,Enterprise Value/EBITDA 6,8.43
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Most Recent Quarter (mrq),"Dec 31, 2017"
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Profit Margin,-10.09%
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Operating Margin (ttm),18.82%
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Return on Assets (ttm),6.97%
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Return on Equity (ttm),-271.23%
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Revenue (ttm),5.52B
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Revenue Per Share (ttm),11.81
2,442,3,2,2018-07-03 02:24:10,2018-07-03,Quarterly Revenue Growth (yoy),4.90%
3,442,3,2,2018-07-03 02:24:10,2018-07-03,Gross Profit (ttm),2.17B
4,442,3,2,2018-07-03 02:24:10,2018-07-03,EBITDA,1.3B
5,442,3,2,2018-07-03 02:24:10,2018-07-03,Net Income Avi to Common (ttm),-557.1M
6,442,3,2,2018-07-03 02:24:10,2018-07-03,Diluted EPS (ttm),-1.19
7,442,3,2,2018-07-03 02:24:10,2018-07-03,Quarterly Earnings Growth (yoy),
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Total Cash (mrq),841.5M
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Total Cash Per Share (mrq),1.83
2,442,3,2,2018-07-03 02:24:10,2018-07-03,Total Debt (mrq),3.03B
3,442,3,2,2018-07-03 02:24:10,2018-07-03,Total Debt/Equity (mrq),
4,442,3,2,2018-07-03 02:24:10,2018-07-03,Current Ratio (mrq),0.20
5,442,3,2,2018-07-03 02:24:10,2018-07-03,Book Value Per Share (mrq),-1.07
0,442,3,2,2018-07-03 02:24:10,2018-07-03,Operating Cash Flow (ttm),735.8M
1,442,3,2,2018-07-03 02:24:10,2018-07-03,Levered Free Cash Flow (ttm),1.62B
0,442,4,2,2018-07-03 02:24:10,2018-07-03,Beta,0.88
1,442,4,2,2018-07-03 02:24:10,2018-07-03,52-Week Change 3,6.16%
2,442,4,2,2018-07-03 02:24:10,2018-07-03,S&P500 52-Week Change 3,11.91%
3,442,4,2,2018-07-03 02:24:10,2018-07-03,52 Week High 3,22.21
4,442,4,2,2018-07-03 02:24:10,2018-07-03,52 Week Low 3,18.38
5,442,4,2,2018-07-03 02:24:10,2018-07-03,50-Day Moving Average 3,20.45
6,442,4,2,2018-07-03 02:24:10,2018-07-03,200-Day Moving Average 3,19.93
0,442,4,2,2018-07-03 02:24:10,2018-07-03,Avg Vol (3 month) 3,4.33M
1,442,4,2,2018-07-03 02:24:10,2018-07-03,Avg Vol (10 day) 3,4.09M
2,442,4,2,2018-07-03 02:24:10,2018-07-03,Shares Outstanding 5,460.73M
3,442,4,2,2018-07-03 02:24:10,2018-07-03,Float,457.8M
4,442,4,2,2018-07-03 02:24:10,2018-07-03,% Held by Insiders 1,0.34%
5,442,4,2,2018-07-03 02:24:10,2018-07-03,% Held by Institutions 1,110.60%
6,442,4,2,2018-07-03 02:24:10,2018-07-03,Shares Short 3,42.27M
7,442,4,2,2018-07-03 02:24:10,2018-07-03,Short Ratio 3,11.43
8,442,4,2,2018-07-03 02:24:10,2018-07-03,Short % of Float 3,11.76%
9,442,4,2,2018-07-03 02:24:10,2018-07-03,Shares Short (prior month) 3,39.99M
0,442,4,2,2018-07-03 02:24:10,2018-07-03,Forward Annual Dividend Rate 4,0.76
1,442,4,2,2018-07-03 02:24:10,2018-07-03,Forward Annual Dividend Yield 4,3.97%
2,442,4,2,2018-07-03 02:24:10,2018-07-03,Trailing Annual Dividend Rate 3,0.70
3,442,4,2,2018-07-03 02:24:10,2018-07-03,Trailing Annual Dividend Yield 3,3.44%
4,442,4,2,2018-07-03 02:24:10,2018-07-03,5 Year Average Dividend Yield 4,3.09
5,442,4,2,2018-07-03 02:24:10,2018-07-03,Payout Ratio 4,
6,442,4,2,2018-07-03 02:24:10,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,442,4,2,2018-07-03 02:24:10,2018-07-03,Ex-Dividend Date 4,"Mar 15, 2018"
8,442,4,2,2018-07-03 02:24:10,2018-07-03,Last Split Factor (new per old) 2,
9,442,4,2,2018-07-03 02:24:10,2018-07-03,Last Split Date 3,
