,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,437,2,2,2018-07-03 02:22:16,2018-07-03,Market Cap (intraday) 5,10.82B
1,437,2,2,2018-07-03 02:22:16,2018-07-03,Enterprise Value 3,17.04B
2,437,2,2,2018-07-03 02:22:16,2018-07-03,Trailing P/E,12.91
3,437,2,2,2018-07-03 02:22:16,2018-07-03,Forward P/E 1,12.99
4,437,2,2,2018-07-03 02:22:16,2018-07-03,PEG Ratio (5 yr expected) 1,0.66
5,437,2,2,2018-07-03 02:22:16,2018-07-03,Price/Sales (ttm),2.35
6,437,2,2,2018-07-03 02:22:16,2018-07-03,Price/Book (mrq),12.34
7,437,2,2,2018-07-03 02:22:16,2018-07-03,Enterprise Value/Revenue 3,3.69
8,437,2,2,2018-07-03 02:22:16,2018-07-03,Enterprise Value/EBITDA 6,13.84
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Most Recent Quarter (mrq),"Dec 31, 2017"
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Profit Margin,18.88%
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Operating Margin (ttm),22.07%
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Return on Assets (ttm),6.29%
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Return on Equity (ttm),102.31%
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Revenue (ttm),4.61B
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Revenue Per Share (ttm),44.79
2,437,3,2,2018-07-03 02:22:16,2018-07-03,Quarterly Revenue Growth (yoy),-6.70%
3,437,3,2,2018-07-03 02:22:16,2018-07-03,Gross Profit (ttm),
4,437,3,2,2018-07-03 02:22:16,2018-07-03,EBITDA,1.23B
5,437,3,2,2018-07-03 02:22:16,2018-07-03,Net Income Avi to Common (ttm),818M
6,437,3,2,2018-07-03 02:22:16,2018-07-03,Diluted EPS (ttm),8.40
7,437,3,2,2018-07-03 02:22:16,2018-07-03,Quarterly Earnings Growth (yoy),173.80%
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Total Cash (mrq),116M
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Total Cash Per Share (mrq),1.16
2,437,3,2,2018-07-03 02:22:16,2018-07-03,Total Debt (mrq),6.01B
3,437,3,2,2018-07-03 02:22:16,2018-07-03,Total Debt/Equity (mrq),680.29
4,437,3,2,2018-07-03 02:22:16,2018-07-03,Current Ratio (mrq),1.17
5,437,3,2,2018-07-03 02:22:16,2018-07-03,Book Value Per Share (mrq),8.79
0,437,3,2,2018-07-03 02:22:16,2018-07-03,Operating Cash Flow (ttm),987M
1,437,3,2,2018-07-03 02:22:16,2018-07-03,Levered Free Cash Flow (ttm),-91.25M
0,437,4,2,2018-07-03 02:22:16,2018-07-03,Beta,1.41
1,437,4,2,2018-07-03 02:22:16,2018-07-03,52-Week Change 3,143.69%
2,437,4,2,2018-07-03 02:22:16,2018-07-03,S&P500 52-Week Change 3,11.91%
3,437,4,2,2018-07-03 02:22:16,2018-07-03,52 Week High 3,110.95
4,437,4,2,2018-07-03 02:22:16,2018-07-03,52 Week Low 3,43.02
5,437,4,2,2018-07-03 02:22:16,2018-07-03,50-Day Moving Average 3,49.38
6,437,4,2,2018-07-03 02:22:16,2018-07-03,200-Day Moving Average 3,52.05
0,437,4,2,2018-07-03 02:22:16,2018-07-03,Avg Vol (3 month) 3,2.92M
1,437,4,2,2018-07-03 02:22:16,2018-07-03,Avg Vol (10 day) 3,5.73M
2,437,4,2,2018-07-03 02:22:16,2018-07-03,Shares Outstanding 5,99.78M
3,437,4,2,2018-07-03 02:22:16,2018-07-03,Float,97.94M
4,437,4,2,2018-07-03 02:22:16,2018-07-03,% Held by Insiders 1,3.02%
5,437,4,2,2018-07-03 02:22:16,2018-07-03,% Held by Institutions 1,95.48%
6,437,4,2,2018-07-03 02:22:16,2018-07-03,Shares Short 3,6.11M
7,437,4,2,2018-07-03 02:22:16,2018-07-03,Short Ratio 3,5.65
8,437,4,2,2018-07-03 02:22:16,2018-07-03,Short % of Float 3,6.65%
9,437,4,2,2018-07-03 02:22:16,2018-07-03,Shares Short (prior month) 3,6.45M
0,437,4,2,2018-07-03 02:22:16,2018-07-03,Forward Annual Dividend Rate 4,2.64
1,437,4,2,2018-07-03 02:22:16,2018-07-03,Forward Annual Dividend Yield 4,2.28%
2,437,4,2,2018-07-03 02:22:16,2018-07-03,Trailing Annual Dividend Rate 3,2.32
3,437,4,2,2018-07-03 02:22:16,2018-07-03,Trailing Annual Dividend Yield 3,2.09%
4,437,4,2,2018-07-03 02:22:16,2018-07-03,5 Year Average Dividend Yield 4,2.04
5,437,4,2,2018-07-03 02:22:16,2018-07-03,Payout Ratio 4,29.40%
6,437,4,2,2018-07-03 02:22:16,2018-07-03,Dividend Date 3,"Jun 29, 2018"
7,437,4,2,2018-07-03 02:22:16,2018-07-03,Ex-Dividend Date 4,"Mar 14, 2018"
8,437,4,2,2018-07-03 02:22:16,2018-07-03,Last Split Factor (new per old) 2,2215/1000
9,437,4,2,2018-07-03 02:22:16,2018-07-03,Last Split Date 3,"Jun 1, 2018"
