,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,447,2,2,2018-07-03 02:26:01,2018-07-03,Market Cap (intraday) 5,14.47B
1,447,2,2,2018-07-03 02:26:01,2018-07-03,Enterprise Value 3,11.62B
2,447,2,2,2018-07-03 02:26:01,2018-07-03,Trailing P/E,
3,447,2,2,2018-07-03 02:26:01,2018-07-03,Forward P/E 1,14.47
4,447,2,2,2018-07-03 02:26:01,2018-07-03,PEG Ratio (5 yr expected) 1,0.74
5,447,2,2,2018-07-03 02:26:01,2018-07-03,Price/Sales (ttm),1.27
6,447,2,2,2018-07-03 02:26:01,2018-07-03,Price/Book (mrq),1.50
7,447,2,2,2018-07-03 02:26:01,2018-07-03,Enterprise Value/Revenue 3,1.02
8,447,2,2,2018-07-03 02:26:01,2018-07-03,Enterprise Value/EBITDA 6,-104.86
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Most Recent Quarter (mrq),"Mar 31, 2018"
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Profit Margin,-4.92%
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Operating Margin (ttm),-1.85%
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Return on Assets (ttm),-0.21%
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Return on Equity (ttm),-4.48%
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Revenue (ttm),11.39B
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Revenue Per Share (ttm),44.19
2,447,3,2,2018-07-03 02:26:01,2018-07-03,Quarterly Revenue Growth (yoy),2.20%
3,447,3,2,2018-07-03 02:26:01,2018-07-03,Gross Profit (ttm),1.5B
4,447,3,2,2018-07-03 02:26:01,2018-07-03,EBITDA,-110.76M
5,447,3,2,2018-07-03 02:26:01,2018-07-03,Net Income Avi to Common (ttm),-560.59M
6,447,3,2,2018-07-03 02:26:01,2018-07-03,Diluted EPS (ttm),-2.19
7,447,3,2,2018-07-03 02:26:01,2018-07-03,Quarterly Earnings Growth (yoy),-0.10%
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Total Cash (mrq),6.08B
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Total Cash Per Share (mrq),23.53
2,447,3,2,2018-07-03 02:26:01,2018-07-03,Total Debt (mrq),3.24B
3,447,3,2,2018-07-03 02:26:01,2018-07-03,Total Debt/Equity (mrq),28.84
4,447,3,2,2018-07-03 02:26:01,2018-07-03,Current Ratio (mrq),0.51
5,447,3,2,2018-07-03 02:26:01,2018-07-03,Book Value Per Share (mrq),37.29
0,447,3,2,2018-07-03 02:26:01,2018-07-03,Operating Cash Flow (ttm),-157.31M
1,447,3,2,2018-07-03 02:26:01,2018-07-03,Levered Free Cash Flow (ttm),1.27B
0,447,4,2,2018-07-03 02:26:01,2018-07-03,Beta,0.16
1,447,4,2,2018-07-03 02:26:01,2018-07-03,52-Week Change 3,25.70%
2,447,4,2,2018-07-03 02:26:01,2018-07-03,S&P500 52-Week Change 3,11.91%
3,447,4,2,2018-07-03 02:26:01,2018-07-03,52 Week High 3,56.50
4,447,4,2,2018-07-03 02:26:01,2018-07-03,52 Week Low 3,33.77
5,447,4,2,2018-07-03 02:26:01,2018-07-03,50-Day Moving Average 3,55.90
6,447,4,2,2018-07-03 02:26:01,2018-07-03,200-Day Moving Average 3,48.74
0,447,4,2,2018-07-03 02:26:01,2018-07-03,Avg Vol (3 month) 3,2.47M
1,447,4,2,2018-07-03 02:26:01,2018-07-03,Avg Vol (10 day) 3,1.45M
2,447,4,2,2018-07-03 02:26:01,2018-07-03,Shares Outstanding 5,258.29M
3,447,4,2,2018-07-03 02:26:01,2018-07-03,Float,254.16M
4,447,4,2,2018-07-03 02:26:01,2018-07-03,% Held by Insiders 1,48.84%
5,447,4,2,2018-07-03 02:26:01,2018-07-03,% Held by Institutions 1,0.00%
6,447,4,2,2018-07-03 02:26:01,2018-07-03,Shares Short 3,6.34M
7,447,4,2,2018-07-03 02:26:01,2018-07-03,Short Ratio 3,2.98
8,447,4,2,2018-07-03 02:26:01,2018-07-03,Short % of Float 3,2.46%
9,447,4,2,2018-07-03 02:26:01,2018-07-03,Shares Short (prior month) 3,6.91M
0,447,4,2,2018-07-03 02:26:01,2018-07-03,Forward Annual Dividend Rate 4,0.88
1,447,4,2,2018-07-03 02:26:01,2018-07-03,Forward Annual Dividend Yield 4,1.57%
2,447,4,2,2018-07-03 02:26:01,2018-07-03,Trailing Annual Dividend Rate 3,0.88
3,447,4,2,2018-07-03 02:26:01,2018-07-03,Trailing Annual Dividend Yield 3,1.57%
4,447,4,2,2018-07-03 02:26:01,2018-07-03,5 Year Average Dividend Yield 4,1.93
5,447,4,2,2018-07-03 02:26:01,2018-07-03,Payout Ratio 4,
6,447,4,2,2018-07-03 02:26:01,2018-07-03,Dividend Date 3,"Jul 2, 2018"
7,447,4,2,2018-07-03 02:26:01,2018-07-03,Ex-Dividend Date 4,"Jun 14, 2018"
8,447,4,2,2018-07-03 02:26:01,2018-07-03,Last Split Factor (new per old) 2,2/1
9,447,4,2,2018-07-03 02:26:01,2018-07-03,Last Split Date 3,"Jul 29, 1996"
