,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,444,2,2,2018-07-03 02:24:55,2018-07-03,Market Cap (intraday) 5,6.17B
1,444,2,2,2018-07-03 02:24:55,2018-07-03,Enterprise Value 3,11.62B
2,444,2,2,2018-07-03 02:24:55,2018-07-03,Trailing P/E,33.99
3,444,2,2,2018-07-03 02:24:55,2018-07-03,Forward P/E 1,6.56
4,444,2,2,2018-07-03 02:24:55,2018-07-03,PEG Ratio (5 yr expected) 1,3.39
5,444,2,2,2018-07-03 02:24:55,2018-07-03,Price/Sales (ttm),0.60
6,444,2,2,2018-07-03 02:24:55,2018-07-03,Price/Book (mrq),1.17
7,444,2,2,2018-07-03 02:24:55,2018-07-03,Enterprise Value/Revenue 3,1.13
8,444,2,2,2018-07-03 02:24:55,2018-07-03,Enterprise Value/EBITDA 6,8.37
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Most Recent Quarter (mrq),"Dec 31, 2017"
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Profit Margin,1.90%
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Operating Margin (ttm),9.07%
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Return on Assets (ttm),3.42%
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Return on Equity (ttm),3.90%
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Revenue (ttm),10.26B
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Revenue Per Share (ttm),40.36
2,444,3,2,2018-07-03 02:24:55,2018-07-03,Quarterly Revenue Growth (yoy),0.50%
3,444,3,2,2018-07-03 02:24:55,2018-07-03,Gross Profit (ttm),4.06B
4,444,3,2,2018-07-03 02:24:55,2018-07-03,EBITDA,1.39B
5,444,3,2,2018-07-03 02:24:55,2018-07-03,Net Income Avi to Common (ttm),178M
6,444,3,2,2018-07-03 02:24:55,2018-07-03,Diluted EPS (ttm),0.71
7,444,3,2,2018-07-03 02:24:55,2018-07-03,Quarterly Earnings Growth (yoy),
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Total Cash (mrq),1.29B
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Total Cash Per Share (mrq),5.08
2,444,3,2,2018-07-03 02:24:55,2018-07-03,Total Debt (mrq),5.52B
3,444,3,2,2018-07-03 02:24:55,2018-07-03,Total Debt/Equity (mrq),100.18
4,444,3,2,2018-07-03 02:24:55,2018-07-03,Current Ratio (mrq),1.91
5,444,3,2,2018-07-03 02:24:55,2018-07-03,Book Value Per Share (mrq),20.64
0,444,3,2,2018-07-03 02:24:55,2018-07-03,Operating Cash Flow (ttm),34M
1,444,3,2,2018-07-03 02:24:55,2018-07-03,Levered Free Cash Flow (ttm),629.5M
0,444,4,2,2018-07-03 02:24:55,2018-07-03,Beta,1.15
1,444,4,2,2018-07-03 02:24:55,2018-07-03,52-Week Change 3,∞%
2,444,4,2,2018-07-03 02:24:55,2018-07-03,S&P500 52-Week Change 3,11.91%
3,444,4,2,2018-07-03 02:24:55,2018-07-03,52 Week High 3,37.42
4,444,4,2,2018-07-03 02:24:55,2018-07-03,52 Week Low 3,23.52
5,444,4,2,2018-07-03 02:24:55,2018-07-03,50-Day Moving Average 3,27.29
6,444,4,2,2018-07-03 02:24:55,2018-07-03,200-Day Moving Average 3,29.44
0,444,4,2,2018-07-03 02:24:55,2018-07-03,Avg Vol (3 month) 3,2.67M
1,444,4,2,2018-07-03 02:24:55,2018-07-03,Avg Vol (10 day) 3,3.16M
2,444,4,2,2018-07-03 02:24:55,2018-07-03,Shares Outstanding 5,255.1M
3,444,4,2,2018-07-03 02:24:55,2018-07-03,Float,221.81M
4,444,4,2,2018-07-03 02:24:55,2018-07-03,% Held by Insiders 1,3.70%
5,444,4,2,2018-07-03 02:24:55,2018-07-03,% Held by Institutions 1,88.18%
6,444,4,2,2018-07-03 02:24:55,2018-07-03,Shares Short 3,5.3M
7,444,4,2,2018-07-03 02:24:55,2018-07-03,Short Ratio 3,2.2
8,444,4,2,2018-07-03 02:24:55,2018-07-03,Short % of Float 3,2.33%
9,444,4,2,2018-07-03 02:24:55,2018-07-03,Shares Short (prior month) 3,6.47M
0,444,4,2,2018-07-03 02:24:55,2018-07-03,Forward Annual Dividend Rate 4,1
1,444,4,2,2018-07-03 02:24:55,2018-07-03,Forward Annual Dividend Yield 4,3.29%
2,444,4,2,2018-07-03 02:24:55,2018-07-03,Trailing Annual Dividend Rate 3,1.00
3,444,4,2,2018-07-03 02:24:55,2018-07-03,Trailing Annual Dividend Yield 3,4.17%
4,444,4,2,2018-07-03 02:24:55,2018-07-03,5 Year Average Dividend Yield 4,2.59
5,444,4,2,2018-07-03 02:24:55,2018-07-03,Payout Ratio 4,116.07%
6,444,4,2,2018-07-03 02:24:55,2018-07-03,Dividend Date 3,"Jul 31, 2018"
7,444,4,2,2018-07-03 02:24:55,2018-07-03,Ex-Dividend Date 4,"Mar 28, 2018"
8,444,4,2,2018-07-03 02:24:55,2018-07-03,Last Split Factor (new per old) 2,1/4
9,444,4,2,2018-07-03 02:24:55,2018-07-03,Last Split Date 3,"Jun 15, 2017"
