,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,448,2,2,2018-07-03 02:26:24,2018-07-03,Market Cap (intraday) 5,12.16B
1,448,2,2,2018-07-03 02:26:24,2018-07-03,Enterprise Value 3,15.61B
2,448,2,2,2018-07-03 02:26:24,2018-07-03,Trailing P/E,36.93
3,448,2,2,2018-07-03 02:26:24,2018-07-03,Forward P/E 1,20.05
4,448,2,2,2018-07-03 02:26:24,2018-07-03,PEG Ratio (5 yr expected) 1,1.77
5,448,2,2,2018-07-03 02:26:24,2018-07-03,Price/Sales (ttm),2.58
6,448,2,2,2018-07-03 02:26:24,2018-07-03,Price/Book (mrq),4.86
7,448,2,2,2018-07-03 02:26:24,2018-07-03,Enterprise Value/Revenue 3,3.32
8,448,2,2,2018-07-03 02:26:24,2018-07-03,Enterprise Value/EBITDA 6,19.15
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Fiscal Year Ends,"Dec 31, 2017"
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Most Recent Quarter (mrq),"Dec 31, 2017"
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Profit Margin,7.03%
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Operating Margin (ttm),12.34%
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Return on Assets (ttm),5.45%
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Return on Equity (ttm),13.97%
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Revenue (ttm),4.71B
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Revenue Per Share (ttm),26.20
2,448,3,2,2018-07-03 02:26:24,2018-07-03,Quarterly Revenue Growth (yoy),16.60%
3,448,3,2,2018-07-03 02:26:24,2018-07-03,Gross Profit (ttm),1.85B
4,448,3,2,2018-07-03 02:26:24,2018-07-03,EBITDA,815M
5,448,3,2,2018-07-03 02:26:24,2018-07-03,Net Income Avi to Common (ttm),331M
6,448,3,2,2018-07-03 02:26:24,2018-07-03,Diluted EPS (ttm),1.83
7,448,3,2,2018-07-03 02:26:24,2018-07-03,Quarterly Earnings Growth (yoy),42.00%
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Total Cash (mrq),414M
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Total Cash Per Share (mrq),2.3
2,448,3,2,2018-07-03 02:26:24,2018-07-03,Total Debt (mrq),2.2B
3,448,3,2,2018-07-03 02:26:24,2018-07-03,Total Debt/Equity (mrq),87.34
4,448,3,2,2018-07-03 02:26:24,2018-07-03,Current Ratio (mrq),1.88
5,448,3,2,2018-07-03 02:26:24,2018-07-03,Book Value Per Share (mrq),13.92
0,448,3,2,2018-07-03 02:26:24,2018-07-03,Operating Cash Flow (ttm),686M
1,448,3,2,2018-07-03 02:26:24,2018-07-03,Levered Free Cash Flow (ttm),392.88M
0,448,4,2,2018-07-03 02:26:24,2018-07-03,Beta,0.74
1,448,4,2,2018-07-03 02:26:24,2018-07-03,52-Week Change 3,21.51%
2,448,4,2,2018-07-03 02:26:24,2018-07-03,S&P500 52-Week Change 3,11.91%
3,448,4,2,2018-07-03 02:26:24,2018-07-03,52 Week High 3,79.83
4,448,4,2,2018-07-03 02:26:24,2018-07-03,52 Week Low 3,54.08
5,448,4,2,2018-07-03 02:26:24,2018-07-03,50-Day Moving Average 3,70.59
6,448,4,2,2018-07-03 02:26:24,2018-07-03,200-Day Moving Average 3,72.81
0,448,4,2,2018-07-03 02:26:24,2018-07-03,Avg Vol (3 month) 3,1.21M
1,448,4,2,2018-07-03 02:26:24,2018-07-03,Avg Vol (10 day) 3,1.38M
2,448,4,2,2018-07-03 02:26:24,2018-07-03,Shares Outstanding 5,179.92M
3,448,4,2,2018-07-03 02:26:24,2018-07-03,Float,179.33M
4,448,4,2,2018-07-03 02:26:24,2018-07-03,% Held by Insiders 1,0.60%
5,448,4,2,2018-07-03 02:26:24,2018-07-03,% Held by Institutions 1,90.67%
6,448,4,2,2018-07-03 02:26:24,2018-07-03,Shares Short 3,3.57M
7,448,4,2,2018-07-03 02:26:24,2018-07-03,Short Ratio 3,3.91
8,448,4,2,2018-07-03 02:26:24,2018-07-03,Short % of Float 3,2.00%
9,448,4,2,2018-07-03 02:26:24,2018-07-03,Shares Short (prior month) 3,4.09M
0,448,4,2,2018-07-03 02:26:24,2018-07-03,Forward Annual Dividend Rate 4,0.84
1,448,4,2,2018-07-03 02:26:24,2018-07-03,Forward Annual Dividend Yield 4,1.09%
2,448,4,2,2018-07-03 02:26:24,2018-07-03,Trailing Annual Dividend Rate 3,0.72
3,448,4,2,2018-07-03 02:26:24,2018-07-03,Trailing Annual Dividend Yield 3,1.07%
4,448,4,2,2018-07-03 02:26:24,2018-07-03,5 Year Average Dividend Yield 4,
5,448,4,2,2018-07-03 02:26:24,2018-07-03,Payout Ratio 4,39.34%
6,448,4,2,2018-07-03 02:26:24,2018-07-03,Dividend Date 3,"Jun 21, 2018"
7,448,4,2,2018-07-03 02:26:24,2018-07-03,Ex-Dividend Date 4,"Feb 14, 2018"
8,448,4,2,2018-07-03 02:26:24,2018-07-03,Last Split Factor (new per old) 2,
9,448,4,2,2018-07-03 02:26:24,2018-07-03,Last Split Date 3,
