"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMT","American Tower Corp A","10.24%","143.73","+0.72","+0.50%","1.26 M","118.07 - 155.28",
"SPG","Simon Property Group A","7.71%","153.48","+0.95","+0.62%","957.24 K","150.15 - 176.17",
"CCI","Crown Castle Intl Corp","7.34%","110.11","+1.16","+1.06%","2.65 M","91.44 - 114.97",
"EQIX","Equinix Inc","5.37%","408.81","-8.77","-2.10%","448.03 K","370.79 - 495.35",
"PLD","ProLogis Inc","5.34%","60.76","-0.95","-1.54%","1.13 M","49.44 - 67.53",
"PSA","Public Storage","4.76%","195.08","-0.61","-0.31%","383.04 K","180.48 - 232.21",
"WY","Weyerhaeuser Co","4.32%","34.39","-0.81","-2.30%","3.09 M","30.95 - 37.89",
"AVB","AvalonBay Communities Inc","3.59%","159.80","-0.46","-0.29%","361.26 K","152.65 - 199.52",
"EQR","Equity Residential","3.57%","58.90","-0.31","-0.52%","2.30 M","54.97 - 70.46",
"DLR","Digital Realty Trust","3.43%","103.24","+0.33","+0.32%","870.18 K","96.56 - 127.23",
"SBAC","SBA Communications Corp","3.21%","170.12","+0.71","+0.42%","851.61 K","115.40 - 177.67",
"WELL","Welltower Inc","3.17%","52.48","-0.27","-0.51%","1.37 M","51.63 - 78.17",
"BXP","Boston Properties Inc","3.07%","119.84","-2.74","-2.24%","609.70 K","111.57 - 137.35",
"VTR","Ventas Inc","2.85%","48.32","-1.00","-2.03%","1.57 M","47.97 - 72.36",
"ESS","Essex Property Trust","2.51%","231.94","-1.66","-0.71%","211.40 K","214.03 - 270.04",
"O","Realty Income Corp","2.30%","49.69","-0.18","-0.36%","925.18 K","47.25 - 62.31",
"CBRE","CBRE Group Inc.","2.28%","45.63","-0.85","-1.83%","1.08 M","32.30 - 48.39",
"HST","Host Hotels & Resorts Inc","2.19%","18.12","-0.28","-1.52%","2.41 M","17.26 - 21.53",
"GGP","GGP Inc","2.17%","21.22","+0.10","+0.47%","1.88 M","18.83 - 24.37",
"ARE","Alexandria Real Estate Eqty","2.01%","119.61","-2.57","-2.10%","490.29 K","108.98 - 134.37",
"VNO","Vornado Realty Trust","1.89%","65.83","-1.33","-1.98%","611.21 K","65.16 - 103.35",
"EXR","Extra Space Storage Inc","1.73%","83.54","-0.77","-0.91%","440.66 K","71.34 - 88.56",
"HCP","HCP Inc","1.72%","22.49","-0.12","-0.53%","2.25 M","21.48 - 33.67",
"MAA","Mid-America Apt Communties","1.63%","87.78","-0.38","-0.43%","393.95 K","85.16 - 110.95",
"UDR","UDR Inc","1.51%","34.48","-0.30","-0.85%","858.23 K","32.88 - 40.71",
"DRE","Duke Realty Corp","1.49%","25.49","-0.26","-1.01%","1.38 M","24.30 - 30.14",
"IRM","Iron Mountain Inc","1.45%","31.11","-0.53","-1.68%","955.60 K","30.95 - 41.53",
"SLG","SL Green Realty Corp","1.41%","93.91","-2.14","-2.23%","536.28 K","89.46 - 109.95",
"REG","Regency Centers Corp","1.37%","56.36","-0.28","-0.49%","539.99 K","54.87 - 70.64",
"FRT","Federal Realty Invt Trust","1.36%","113.50","-0.53","-0.46%","261.64 K","106.41 - 138.12",
"MAC","Macerich Co","1.02%","57.58","-0.30","-0.52%","261.50 K","52.12 - 69.73",
"AIV","Apartment Investment & Mgmt","1.00%","38.91","-0.20","-0.51%","730.17 K","37.97 - 46.72",
"KIM","Kimco Realty Corp","0.98%","14.14","-0.06","-0.42%","2.18 M","13.70 - 23.03",
