"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"NEE","NextEra Energy Inc","12.01%","160.78","-1.11","-0.69%","1.30 M","127.09 - 164.25",
"DUK","Duke Energy Corp","8.41%","75.72","-0.47","-0.62%","1.62 M","72.93 - 91.80",
"D","Dominion Energy Inc","6.98%","67.72","-0.15","-0.22%","3.13 M","67.32 - 85.30",
"SO","Southern Co","6.97%","43.50","-0.32","-0.72%","2.64 M","42.38 - 53.51",
"EXC","Exelon Corp","5.84%","37.99","-0.38","-0.99%","2.51 M","33.30 - 42.67",
"AEP","American Electric Power","5.23%","66.89","-0.47","-0.70%","1.82 M","63.32 - 78.07",
"SRE","Sempra Energy","4.45%","110.03","-0.49","-0.44%","645.92 K","100.63 - 122.98",
"PEG","Public Service Enterprise Grp","3.84%","48.38","+0.12","+0.25%","1.53 M","41.67 - 53.28",
"ED","Consolidated Edison Inc","3.76%","76.23","-0.53","-0.69%","789.59 K","73.73 - 89.70",
"PCG","PG&E Corporation","3.58%","43.42","-0.71","-1.61%","1.88 M","37.30 - 71.57",
"XEL","Xcel Energy Inc","3.57%","44.16","-0.41","-0.92%","2.16 M","41.51 - 52.22",
"EIX","Edison Intl","3.23%","62.65","-0.27","-0.43%","1.48 M","57.63 - 83.38",
"WEC","WEC Energy Group Inc","3.06%","61.01","-0.41","-0.67%","690.63 K","58.92 - 70.09",
"PPL","PPL Corp","2.99%","27.31","-0.01","-0.04%","3.86 M","27.12 - 40.20",
"DTE","DTE Energy Co","2.90%","101.92","-0.63","-0.61%","350.64 K","97.66 - 116.74",
"ES","Eversource Energy","2.87%","57.27","-0.24","-0.42%","589.29 K","55.93 - 66.15",
"FE","FirstEnergy Corp","2.43%","34.03","-0.43","-1.23%","2.70 M","27.93 - 35.22",
"AWK","American Water Works Co Inc","2.26%","79.82","-0.33","-0.41%","351.09 K","74.63 - 92.37",
"ETR","Entergy Corp","2.23%","77.91","-0.44","-0.56%","337.29 K","71.95 - 87.95",
"AEE","Ameren Corp","2.10%","54.47","-0.45","-0.82%","608.23 K","51.89 - 64.89",
"CMS","CMS Energy Corp","1.96%","43.59","-0.36","-0.82%","1.47 M","40.48 - 50.85",
"CNP","Centerpoint Energy Inc","1.82%","26.76","+0.03","+0.09%","2.79 M","25.84 - 30.45",
"LNT","Alliant Energy Corp","1.45%","39.76","-0.07","-0.18%","1.02 M","36.84 - 45.55",
"NRG","NRG Energy","1.44%","30.06","-0.24","-0.79%","2.70 M","14.52 - 30.85",
"PNW","Pinnacle West Capital (AZ)","1.38%","78.34","+0.35","+0.44%","780.41 K","73.81 - 92.48",
"NI","Nisource Inc","1.24%","23.28","-0.12","-0.49%","2.16 M","22.44 - 27.76",
"AES","AES Corp","1.13%","10.78","-0.05","-0.42%","3.79 M","9.87 - 12.05",
"SCG","SCANA Corp","0.85%","37.68","-0.06","-0.15%","394.79 K","34.76 - 71.28",
