Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
ASIX,ADVANSIX INC,,0.138632659,3288970.1055255,78215.69811,42.05,USD
AGFS,AGROFRESH SOLUTIONS INC,,0.01872008,444121.7827975,57306.03649,7.75,USD
APD,AIR PRODUCTS & CHEMICALS INC,,3.785831636,89816404.6477719,558455.54093,160.83,USD
AKS,AK STEEL HOLDING CORP,,0.191930841,4553434.968162,805917.69348,5.65,USD
ALB,ALBEMARLE CORP,,1.145848888,27184523.0537312,283142.62112,96.01,USD
AA,ALCOA CORP,,0.897406642,21290391.6160313,472384.99259,45.07,USD
ATI,ALLEGHENY TECHNOLOGIES INC,,0.348014094,8256409.0972675,322390.04675,25.61,USD
AVD,AMERICAN VANGUARD CORP,,0.056358101,1337059.480624,68217.32044,19.6,USD
ATR,APTARGROUP INC,,0.602639305,14297227.38181,160643.00429,89.0,USD
ASH,ASHLAND GLOBAL HOLDINGS INC,,0.472173731,11202016.102201,159800.51501,70.1,USD
AVY,AVERY DENNISON CORP,,1.106833777,26258914.802978,226487.1037,115.94,USD
AXTA,AXALTA COATING SYSTEMS LTD,,0.726709008,17240700.7594426,560855.58749,30.74,USD
BCPC,BALCHEM CORP,,0.262097088,6218083.7527952,81806.12752,76.01,USD
BLL,BALL CORP,,1.425778852,33825680.23092,856346.33496,39.5,USD
BMS,BEMIS COMPANY,,0.432513322,10261098.573504,232730.7456,44.09,USD
BERY,BERRY GLOBAL GROUP INC,,0.757932242,17981451.7818932,334165.61572,53.81,USD
BCC,BOISE CASCADE CO,,0.164397313,3900219.838625,98739.74275,39.5,USD
CBT,CABOT CORP,,0.404394649,9594001.25733,159368.79165,60.2,USD
CCC,CALGON CARBON CORP,,0.117081873,2777691.658482,129798.67563,21.4,USD
CRS,CARPENTER TECHNOLOGY,,0.258666821,6136702.8768705,119693.83415,51.27,USD
CE,CELANESE CORP-SERIES A,,1.534462307,36404124.836272,352479.9074,103.28,USD
CENX,CENTURY ALUMINUM COMPANY,,0.115533588,2740959.5957248,133835.91776,20.48,USD
CF,CF INDUSTRIES HOLDINGS INC,,1.049293325,24893804.830965,597690.3921,41.65,USD
CCF,CHASE CORP,,0.083885054,1990118.603406,19200.37244,103.65,USD
CC,CHEMOURS CO/THE,,0.968680221,22981311.1271323,473548.54991,48.53,USD
CLW,CLEARWATER PAPER CORP,,0.065096848,1544380.58232,41966.86365,36.8,USD
CLF,CLEVELAND-CLIFFS INC,,0.235879856,5596096.88361,722077.01724,7.75,USD
CDE,COEUR MINING INC,,0.149122849,3537843.0629199,464893.96359,7.61,USD
CMC,COMMERCIAL METALS CO,,0.319105907,7570581.0570609,296769.15159,25.51,USD
CMP,COMPASS MINERALS INTERNATION,,0.215094707,5102982.672866,86638.07594,58.9,USD
CCK,CROWN HOLDINGS INC,,0.721385215,17114397.2156862,346025.01447,49.46,USD
UFS,DOMTAR CORP,,0.302801169,7183761.7227327,160602.76599,44.73,USD
DWDP,DOWDUPONT INC,,17.325979815,411047654.350756,5978005.44431,68.76,USD
EXP,EAGLE MATERIALS INC,,0.529368882,12558934.0361268,124247.46771,101.08,USD
EMN,EASTMAN CHEMICAL CO,,1.571197209,37275636.6072222,371234.30542,100.41,USD
ECL,ECOLAB INC,,3.620313827,85889601.7754784,667311.02304,128.71,USD
FOE,FERRO CORP,,0.195687489,4642558.9911381,203353.43807,22.83,USD
FTK,FLOTEK INDUSTRIES INC,,0.037630053,892748.6617206,147318.26101,6.06,USD
FMC,FMC CORP,,1.139215503,27027150.2906624,343681.97216,78.64,USD
FRTA,FORTERRA INC,,0.015178319,360095.8092669,49395.85861,7.29,USD
FCX,FREEPORT-MCMORAN INC,,2.753037976,65314043.6798106,3522871.82739,18.54,USD
FF,FUTUREFUEL CORP,,0.033929925,804965.5213376,66857.60144,12.04,USD
GCP,GCP APPLIED TECHNOLOGIES,,0.243607429,5779428.5430895,183183.15509,31.55,USD
GLT,GLATFELTER,,0.096227621,2282938.030785,111362.83077,20.5,USD
GPK,GRAPHIC PACKAGING HOLDING CO,,0.50309546,11935614.0975648,793591.36287,15.04,USD
GEF,GREIF INC-CL A,,0.139475667,3308969.920797,66245.64406,49.95,USD
FUL,H.B. FULLER CO.,,0.271641173,6444510.984915,129563.95225,49.74,USD
HWKN,HAWKINS INC,,0.034798837,825579.884049,24353.38891,33.9,USD
HAYN,HAYNES INTERNATIONAL INC,,0.056944191,1350964.0661976,32142.85192,42.03,USD
HL,HECLA MINING CO,,0.159412604,3781960.8349,1022151.577,3.7,USD
HUN,HUNTSMAN CORP,,0.707090793,16775271.2996908,522431.37028,32.11,USD
NGVT,INGEVITY CORP,,0.336924582,7993317.594977,108061.6141,73.97,USD
IPHS,INNOPHOS HOLDINGS INC,,0.08756543,2077433.1601083,49854.40749,41.67,USD
IOSP,INNOSPEC INC,,0.168732949,4003079.982434,61871.40622,64.7,USD
IP,INTERNATIONAL PAPER CO,,2.472495537,58658355.9429664,1005112.33624,58.36,USD
IFF,INTL FLAVORS & FRAGRANCES,,1.180814889,28014068.7981946,202443.04667,138.38,USD
IPI,INTREPID POTASH INC,,0.037273355,884286.221654,250506.0118,3.53,USD
KALU,KAISER ALUMINUM CORP,,0.186124704,4415688.1228213,43371.85073,101.81,USD
KS,KAPSTONE PAPER AND PACKAGING,,0.327141289,7761215.3045225,223344.32531,34.75,USD
KOP,KOPPERS HOLDINGS INC,,0.09117661,2163106.045224,53017.30503,40.8,USD
KRA,KRATON CORP,,0.142955149,3391518.3775328,79913.25112,42.44,USD
KRO,KRONOS WORLDWIDE INC,,0.05648019,1339955.9587305,59211.48735,22.63,USD
LPX,LOUISIANA-PACIFIC CORP,,0.432944736,10271333.5941472,371074.19054,27.68,USD
LXU,LSB INDUSTRIES INC,,0.019774732,469142.7334043,64531.32509,7.27,USD
LYB,LYONDELLBASELL INDU-CL A,,3.92885285,93209490.3414774,862013.22798,108.13,USD
MLM,MARTIN MARIETTA MATERIALS,,1.384884803,32855495.404655,161016.8851,204.05,USD
MTRN,MATERION CORP,,0.108949294,2584751.471888,51335.67968,50.35,USD
MUX,MCEWEN MINING INC,,0.056506479,1340579.6439948,677060.42626,1.98,USD
MERC,MERCER INTERNATIONAL INC,,0.063277885,1501226.856597,116374.17493,12.9,USD
MTX,MINERALS TECHNOLOGIES INC,,0.26138872,6201278.178948,89808.51816,69.05,USD
MON,MONSANTO CO,,5.831850471,138356876.920156,1125676.32349,122.91,USD
MOS,MOSAIC CO/THE,,0.949526718,22526906.6749076,854586.74791,26.36,USD
MYE,MYERS INDUSTRIES INC,,0.049572789,1176082.33095,61899.07005,19.0,USD
NP,NEENAH INC,,0.13897012,3296976.14304,43097.72736,76.5,USD
NEU,NEWMARKET CORP,,0.42183569,10007778.670848,24281.2953,412.16,USD
NEM,NEWMONT MINING CORP,,2.194939265,52073513.0877106,1366400.23846,38.11,USD
NUE,NUCOR CORP,,2.329855106,55274304.0577284,818514.79428,67.53,USD
