Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
FLWS,1-800-FLOWERS.COM INC-CL A,,0.00787169,201058.301829,17407.64518,11.55,USD
AAN,AARON'S INC,,0.082193608,2099384.6921025,45196.65645,46.45,USD
ANF,ABERCROMBIE & FITCH CO-CL A,,0.037656234,961813.4899932,47426.70069,20.28,USD
GOLF,ACUSHNET HOLDINGS CORP,,0.019195631,490293.7828151,23336.21051,21.01,USD
ADNT,ADIENT PLC,,0.15425749,3940036.42599,65831.8534,59.85,USD
ATGE,ADTALEM GLOBAL EDUCATION INC,,0.073930503,1888328.904855,41274.94874,45.75,USD
AAP,ADVANCE AUTO PARTS INC,,0.239774202,6124299.6350601,52117.26351,117.51,USD
AMZN,AMAZON.COM INC,,16.825225969,429749007.172811,287755.87209,1493.45,USD
AMC,AMC ENTERTAINMENT HLDS-CL A,,0.021042633,537469.8130025,36438.63139,14.75,USD
AMCX,AMC NETWORKS INC-A,,0.072858388,1860944.991102,36843.1002,50.51,USD
CRMT,AMERICA'S CAR-MART INC,,0.010100018,257974.123055,5238.05326,49.25,USD
AXL,AMERICAN AXLE & MFG HOLDINGS,,0.040507534,1034641.250889,71158.27035,14.54,USD
AEO,AMERICAN EAGLE OUTFITTERS,,0.089702452,2291175.1649844,118960.28894,19.26,USD
AOBC,AMERICAN OUTDOOR BRANDS CORP,,0.013858769,353979.9327392,37617.42112,9.41,USD
APEI,AMERICAN PUBLIC EDUCATION,,0.01234472,315308.1690045,11121.98127,28.35,USD
APTV,APTIV PLC,,0.646428585,16511043.7870865,188117.16745,87.77,USD
ARMK,ARAMARK,,0.276931988,7073381.7861672,173027.93019,40.88,USD
ABG,ASBURY AUTOMOTIVE GROUP,,0.033162627,847038.0317415,13041.38617,64.95,USD
ASNA,ASCENA RETAIL GROUP INC,,0.009381014,239609.3626714,106021.84189,2.26,USD
HOME,AT HOME GROUP INC,,0.011774677,300748.1753199,10556.27151,28.49,USD
ALV,AUTOLIV INC,,0.344617436,8802199.826027,61373.58685,143.42,USD
AN,AUTONATION INC,,0.088898333,2270636.4030204,46188.69819,49.16,USD
AZO,AUTOZONE INC,,0.512089189,13079754.23442,19757.93691,662.0,USD
BNED,BARNES & NOBLE EDUCATION INC,,0.0072524,185240.42859,25202.7794,7.35,USD
BKS,BARNES & NOBLE INC,,0.006739336,172135.775832,39571.44272,4.35,USD
BZH,BEAZER HOMES USA INC,,0.013955397,356448.0123028,22194.77038,16.06,USD
