Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
MO,ALTRIA GROUP INC,,4.393173127,162908387.794258,2609456.79632,62.43,USD
ANDE,ANDERSONS INC/THE,,0.098116758,3638382.2115025,102924.53215,35.35,USD
ADM,ARCHER-DANIELS-MIDLAND CO,,1.322901357,49056051.520575,1189237.61262,41.25,USD
AVP,AVON PRODUCTS INC,,0.09526876,3532772.2561482,1323135.67646,2.67,USD
BGS,B&G FOODS INC,,0.135183223,5012887.133841,181955.97582,27.55,USD
BUFF,BLUE BUFFALO PET PRODUCTS IN,,0.127776997,4738248.1993275,118663.86675,39.93,USD
SAM,BOSTON BEER COMPANY INC-A,,0.114412868,4242677.2970155,25846.34357,164.15,USD
BF/B,BROWN-FORMAN CORP-CLASS B,,0.889825391,32996655.4266256,595930.2045625,55.37,USD
BG,BUNGE LTD,,0.618411253,22932030.5235366,301816.66917,75.98,USD
CALM,CAL-MAINE FOODS INC,,0.102929723,3816857.381286,89597.59111,42.6,USD
CVGW,CALAVO GROWERS INC,,0.135435536,5022243.421965,59682.0371,84.15,USD
CPB,CAMPBELL SOUP CO,,0.446177065,16545213.2932016,391324.81772,42.28,USD
CASY,CASEY'S GENERAL STORES INC,,0.272714238,10112835.4388854,89923.84349,112.46,USD
CENT,CENTRAL GARDEN & PET CO,,0.114111121,4231487.8627715,111208.61663,38.05,USD
CENTA,CENTRAL GARDEN AND PET CO-A,,0.156292845,5795677.705224,162799.93554,35.6,USD
CHEF,CHEFS' WAREHOUSE INC/THE,,0.085651877,3176157.3859925,139611.31367,22.75,USD
CHD,CHURCH & DWIGHT CO INC,,0.719175101,26668572.543127,543258.7603,49.09,USD
CLX,CLOROX COMPANY,,0.912732977,33846118.3881976,260816.20088,129.77,USD
COKE,COCA-COLA BOTTLING CO CONSOL,,0.093768883,3477153.5596668,18743.75268,185.51,USD
KO,COCA-COLA CO/THE,,8.818729749,327017625.758385,7529763.42985,43.43,USD
CL,COLGATE-PALMOLIVE CO,,3.097095708,114847026.042443,1667833.66312,68.86,USD
CAG,CONAGRA BRANDS INC,,0.846663126,31396105.012636,862530.35749,36.4,USD
STZ,CONSTELLATION BRANDS INC-A,,1.994469398,73959251.0501915,342483.21857,215.95,USD
COST,COSTCO WHOLESALE CORP,,4.356089395,161533242.565806,854537.6002,189.03,USD
COTY,COTY INC-CL A,,0.520071496,19285379.057672,1012887.55555,19.04,USD
CVS,CVS HEALTH CORP,,3.564712167,132187258.570282,1968536.98541,67.15,USD
DAR,DARLING INGREDIENTS INC,,0.229781369,8520791.5309692,484686.66274,17.58,USD
DF,DEAN FOODS CO,,0.064491779,2391495.046124,272379.8458,8.78,USD
DPS,DR PEPPER SNAPPLE GROUP INC,,1.211592634,44928482.6629724,385850.93321,116.44,USD
EPC,EDGEWELL PERSONAL CARE CO,,0.19154658,7102962.6445169,140959.76671,50.39,USD
ELF,ELF BEAUTY INC,,0.00360453,133663.8265695,7252.51365,18.43,USD
ENR,ENERGIZER HOLDINGS INC,,0.24426298,9057801.101503,169780.71418,53.35,USD
EL,ESTEE LAUDER COMPANIES-CL A,,1.695593898,62876299.2660738,453849.42447,138.54,USD
FARM,FARMER BROS CO,,0.061983241,2298473.0315655,74504.79843,30.85,USD
FLO,FLOWERS FOODS INC,,0.241169588,8943091.3882869,436887.70827,20.47,USD
FDP,FRESH DEL MONTE PRODUCE INC,,0.132468533,4912220.51532,104293.4292,47.1,USD
FRPT,FRESHPET INC,,0.125246603,4644415.698804,228788.95068,20.3,USD
GIS,GENERAL MILLS INC,,1.611068866,59741927.7652418,1181370.92674,50.57,USD
HAIN,HAIN CELESTIAL GROUP INC,,0.217467432,8064164.0462544,236555.12016,34.09,USD
HLF,HERBALIFE LTD,,0.35227814,13063237.4846402,142332.07109,91.78,USD
HSY,HERSHEY CO/THE,,0.806359516,29901559.745682,305741.91969,97.8,USD
HRL,HORMEL FOODS CORP,,0.529541813,19636558.9550156,606815.78971,32.36,USD
TWNK,HOSTESS BRANDS INC,,0.004692563,174010.418712,12314.9624,14.13,USD
HRG,HRG GROUP INC,,0.121514162,4506008.7078525,297426.31735,15.15,USD
IMKTA,INGLES MARKETS INC-CLASS A,,0.04799794,1779867.7492545,53853.78969,33.05,USD
INGR,INGREDION INC,,0.538464687,19967438.4585595,154846.36261,128.95,USD
IPAR,INTER PARFUMS INC,,0.10875812,4032986.973092,95229.91672,42.35,USD
JJSF,J & J SNACK FOODS CORP,,0.157554621,5842467.066325,43438.41685,134.5,USD
SJM,JM SMUCKER CO/THE,,0.794894454,29476410.392475,232280.61775,126.9,USD
JBSS,JOHN B. SANFILIPPO & SON INC,,0.007076306,262404.785787,4567.53326,57.45,USD
K,KELLOGG CO,,0.964647382,35771217.1530269,534616.90559,66.91,USD
KMB,KIMBERLY-CLARK CORP,,2.145890697,79574281.197985,713670.68339,111.5,USD
KHC,KRAFT HEINZ CO/THE,,2.118537657,78559971.1731172,1174465.10948,66.89,USD
KR,KROGER CO,,1.358778653,50386459.498574,1834903.8419,27.46,USD
LW,LAMB WESTON HOLDINGS INC,,0.42226236,15658404.17078,287521.193,54.46,USD
LANC,LANCASTER COLONY CORP,,0.165675431,6143604.312324,51976.34782,118.2,USD
LNDC,LANDEC CORP,,0.063883029,2368921.269405,185797.74662,12.75,USD
MKC,MCCORMICK & CO-NON VTG SHRS,,0.700010957,25957924.5409092,243188.35058,106.74,USD
MED,MEDIFAST INC,,0.12282714,4554696.7722896,71931.40828,63.32,USD
MGPI,MGP INGREDIENTS INC,,0.009610289,356370.3935015,4657.82765,76.51,USD
TAP,MOLSON COORS BREWING CO -B,,0.786350328,29159575.671312,379484.3268,76.84,USD
MDLZ,MONDELEZ INTERNATIONAL INC-A,,3.610473596,133884191.611364,3069330.38999,43.62,USD
MNST,MONSTER BEVERAGE CORP,,1.182601206,43853417.6571762,808805.19471,54.22,USD
FIZZ,NATIONAL BEVERAGE CORP,,0.011340222,420520.06132,4362.2413,96.4,USD
NGVC,NATURAL GROCERS BY VITAMIN C,,0.019513982,723620.8015918,103226.93318,7.01,USD
NHTC,NATURAL HEALTH TRENDS CORP,,0.003801119,140953.7526948,8199.75292,17.19,USD
NUS,NU SKIN ENTERPRISES INC - A,,0.295685991,10964677.8790066,155285.05706,70.61,USD
PEP,PEPSICO INC,,7.679792569,284783364.944104,2633956.39053,108.12,USD
PFGC,PERFORMANCE FOOD GROUP CO,,0.105521526,3912967.07206,126224.74426,31.0,USD
PM,PHILIP MORRIS INTERNATIONAL,,8.10796664,300660988.120828,2872191.3271,104.68,USD
PPC,PILGRIM'S PRIDE CORP,,0.140994402,5228378.2592928,209722.35296,24.93,USD
PF,PINNACLE FOODS INC,,0.374341996,13881413.132764,253356.6916,54.79,USD
POST,POST HOLDINGS INC,,0.29365214,10889258.253444,142903.65162,76.2,USD
PSMT,PRICESMART INC,,0.117375953,4352554.923624,55376.01684,78.6,USD
PG,PROCTER & GAMBLE CO/THE,,10.163664815,376890734.980505,4788954.70115,78.7,USD
REV,REVLON INC-CLASS A,,0.047264159,1752657.534644,87414.34088,20.05,USD
RAD,RITE AID CORP,,0.1096468,4065941.1719296,2162734.66592,1.88,USD
SAFM,SANDERSON FARMS INC,,0.207488325,7694117.1103046,62609.79014,122.89,USD
SENEA,SENECA FOODS CORP - CL A,,0.05904097,2189367.252189,75625.81182,28.95,USD
SFS,SMART & FINAL STORES INC,,0.029341338,1088040.4717965,156552.58587,6.95,USD
LNCE,SNYDERS-LANCE INC,,0.303109373,11239952.979964,225339.8753,49.88,USD
SPTN,SPARTANNASH CO,,0.067964811,2520282.6007424,148601.56844,16.96,USD
SPB,SPECTRUM BRANDS HOLDINGS INC,,0.177340132,6576156.7488107,69361.42547,94.81,USD
SFM,SPROUTS FARMERS MARKET INC,,0.24539181,9099660.5678349,352290.38203,25.83,USD
SVU,SUPERVALU INC,,0.036789044,1364217.5460224,92677.82242,14.72,USD
SYY,SYSCO CORP,,1.715443099,63612350.6924076,1069834.35406,59.46,USD
TR,TOOTSIE ROLL INDS,,0.08549991,3170522.121802,94925.81203,33.4,USD
THS,TREEHOUSE FOODS INC,,0.133703812,4958027.3711948,131199.45412,37.79,USD
TSN,TYSON FOODS INC-CL A,,1.218104357,45169951.4680448,615226.79744,73.42,USD
UNFI,UNITED NATURAL FOODS INC,,0.157469332,5839304.3861152,135703.09984,43.03,USD
UVV,UNIVERSAL CORP/VA,,0.093430006,3464587.272805,71434.78913,48.5,USD
USFD,US FOODS HOLDING CORP,,0.299765358,11115949.648272,330831.83477,33.6,USD
USNA,USANA HEALTH SCIENCES INC,,0.098709164,3660349.90013,48194.2054,75.95,USD
VGR,VECTOR GROUP LTD,,0.145510721,5395853.1614007,272105.55529,19.83,USD
VLGEA,VILLAGE SUPER MARKET-CLASS A,,0.050639359,1877817.2734615,80077.49567,23.45,USD
WBA,WALGREENS BOOTS ALLIANCE INC,,3.331626978,123543954.212328,1759885.38764,70.2,USD
WMT,WALMART INC,,6.580661543,244025202.61068,2739393.83263,89.08,USD
WDFC,WD-40 CO,,0.149907273,5558886.840164,44993.01368,123.55,USD
WMK,WEIS MARKETS INC,,0.065692071,2436004.4907195,64495.75035,37.77,USD
