Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
APC,ANADARKO PETROLEUM CORP,,2.209185715,86268064.9136208,1510295.25409,57.12,USD
ANDV,ANDEAVOR,,0.949142194,37063728.9129225,407070.05945,91.05,USD
AMGP,ANTERO MIDSTREAM GP LP,,0.003634893,141941.5256256,7647.71151,18.56,USD
AR,ANTERO RESOURCES CORP,,0.296990659,11597399.5704643,595043.59007,19.49,USD
APA,APACHE CORP,,0.899855004,35139078.3573119,1025359.74197,34.27,USD
ARCH,ARCH COAL INC - A,,0.153400704,5990253.2641835,61850.83391,96.85,USD
AROC,ARCHROCK INC,,0.045264587,1767569.0903325,181289.13747,9.75,USD
BHGE,BAKER HUGHES A GE CO,,0.754098447,29447326.8560713,1085415.66001,27.13,USD
BAS,BASIC ENERGY SERVICES INC,,0.026850628,1048509.2830941,62747.41371,16.71,USD
BBG,BILL BARRETT CORP,,0.033982224,1326996.0567256,303660.42488,4.37,USD
BCEI,BONANZA CREEK ENERGY INC,,0.003278471,128023.3581711,4701.55557,27.23,USD
BRS,BRISTOW GROUP INC,,0.040914069,1597682.5949152,106583.22848,14.99,USD
CJ,C&J ENERGY SERVICES INC,,0.002759207,107746.2708588,4467.09249,24.12,USD
COG,CABOT OIL & GAS CORP,,0.814888972,31821179.310018,1276933.35915,24.92,USD
CRC,CALIFORNIA RESOURCES CORP,,0.041628334,1625574.4636474,115946.82337,14.02,USD
CPE,CALLON PETROLEUM CO,,0.151845318,5929515.8927616,552096.45184,10.74,USD
CRR,CARBO CERAMICS INC,,0.013194849,515255.0659284,72164.57506,7.14,USD
CRZO,CARRIZO OIL & GAS INC,,0.081904696,3198354.7611325,224761.40275,14.23,USD
CDEV,CENTENNIAL RESOURCE DEVELO-A,,0.180247106,7038597.501,360953.718,19.5,USD
LNG,CHENIERE ENERGY INC,,0.7207876,28146547.8727408,542531.76316,51.88,USD
CHK,CHESAPEAKE ENERGY CORP,,0.173925305,6791732.9914,2425618.9255,2.8,USD
CVX,CHEVRON CORP,,14.455841245,564496430.704359,5038347.29297,112.04,USD
XEC,CIMAREX ENERGY CO,,0.626658587,24470837.08818,256642.2348,95.35,USD
CLNE,CLEAN ENERGY FUELS CORP,,0.012879437,502938.325125,372546.9075,1.35,USD
CNX,CNX RESOURCES CORP,,0.210901582,8235645.9603448,501256.60136,16.43,USD
CIEIQ,COBALT INTERNATIONAL ENERGY,,2.1e-08,0.82193903,1.75628,0.467999994,USD
CXO,CONCHO RESOURCES INC,,1.530229397,59755016.5670334,397465.85451,150.34,USD
COP,CONOCOPHILLIPS,,4.519295445,176477183.508346,3275374.60112,53.88,USD
CEIX,CONSOL ENERGY INC,,0.050619094,1976661.0267835,62651.69657,31.55,USD
CLR,CONTINENTAL RESOURCES INC/OK,,0.315450264,12318241.832694,253566.1143,48.58,USD
CLB,CORE LABORATORIES N.V.,,0.31476429,12291454.7329203,119346.09897,102.99,USD
CVI,CVR ENERGY INC,,0.040390915,1577253.5897454,52417.86606,30.09,USD
DK,DELEK US HOLDINGS INC,,0.182072374,7109873.6979426,205904.24842,34.53,USD
DNR,DENBURY RESOURCES INC,,0.063916845,2495934.3683997,1139696.05863,2.19,USD
DVN,DEVON ENERGY CORP,,1.045587301,40829882.5137162,1336931.32003,30.54,USD
DO,DIAMOND OFFSHORE DRILLING,,0.071729023,2800997.6904496,193439.06702,14.48,USD
FANG,DIAMONDBACK ENERGY INC,,0.783602536,30599453.0061899,242065.12939,126.41,USD
LPG,DORIAN LPG LTD,,1.9588e-05,764.9292396,104.49853,7.32,USD
DRQ,DRIL-QUIP INC,,0.117859365,4602374.214207,103540.47726,44.45,USD
ECR,ECLIPSE RESOURCES CORP,,0.012440151,485784.3211704,299866.86492,1.62,USD
EEQ,ENBRIDGE ENERGY MANAGEMENT L,,0.061267361,2392472.80000192,204835.000000164,11.68,USD
EGN,ENERGEN CORP,,0.368521825,14390670.9823707,262268.47061,54.87,USD
ENLC,ENLINK MIDSTREAM LLC,,0.067483728,2635220.13855,175681.34257,15.0,USD
ESV,ENSCO PLC-CL A,,0.137536138,5370746.551419,1204203.26265,4.46,USD
EOG,EOG RESOURCES INC,,4.030201682,157378213.1344,1555428.08,101.18,USD
EQT,EQT CORP,,0.886550961,34619559.3299322,690595.63794,50.13,USD
EXTN,EXTERRAN CORP,,0.063690106,2487080.3047125,94745.91637,26.25,USD
XOG,EXTRACTION OIL & GAS INC,,0.091150844,3559414.1981855,283618.66121,12.55,USD
XOM,EXXON MOBIL CORP,,21.032692818,821320587.465536,10921816.32268,75.2,USD
FMSA,FAIRMOUNT SANTROL HOLDINGS I,,0.052391366,2045867.7315168,448655.20428,4.56,USD
