Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P),# (B),% Wgt (B),% Wgt (D)
AAC,AAC HOLDINGS INC,,0.003037588,217749.6217952,22494.79564,9.68,USD,,0.003160205,-0.000122616
ABAX,ABAXIS INC,,0.040695949,2917290.0897586,44107.80299,66.14,USD,,0.040843142,-0.000147192
ABT,ABBOTT LABORATORIES,,2.771345922,198663997.089502,3379214.10256,58.79,USD,,2.78412742,-0.012781498
ABBV,ABBVIE INC,,4.923599431,352948340.116492,3100389.49505,113.84,USD,,4.944600331,-0.0210009
ABEO,ABEONA THERAPEUTICS INC,,0.011035775,791099.81706,56507.12979,14.0,USD,,0.011580946,-0.000545171
ABMD,ABIOMED INC,,0.301870461,21639591.0806793,81440.63483,265.71,USD,,0.303667893,-0.001797432
ACHC,ACADIA HEALTHCARE CO INC,,0.076520104,5485345.4519385,144923.26161,37.85,USD,,0.076900801,-0.000380696
ACAD,ACADIA PHARMACEUTICALS INC,,0.061129172,4382046.1375176,190689.56212,22.98,USD,,0.062125202,-0.000996029
AXDX,ACCELERATE DIAGNOSTICS INC,,0.022857719,1638556.150725,64893.3129,25.25,USD,,0.022834409,2.3309e-05
XLRN,ACCELERON PHARMA INC,,0.041364954,2965247.7435766,73017.67406,40.61,USD,,0.04248281,-0.001117855
ARAY,ACCURAY INC,,0.012205442,874947.462464,165084.42688,5.3,USD,,0.012100999,0.000104443
ACET,ACETO CORP,,0.005836856,418415.1953891,59518.51997,7.03,USD,,0.005758961,7.7895e-05
AKAO,ACHAOGEN INC,,0.007740143,554852.3611918,54290.83769,10.22,USD,,0.007662158,7.7984e-05
ACHN,ACHILLION PHARMACEUTICALS,,0.009791155,701879.2001316,211409.39763,3.32,USD,,0.009882771,-9.1616e-05
ACRS,ACLARIS THERAPEUTICS INC,,0.012707044,910904.792255,46617.44075,19.54,USD,,0.013114159,-0.000407115
ACOR,ACORDA THERAPEUTICS INC,,0.030876186,2213360.1757315,90897.74849,24.35,USD,,0.030969967,-9.378e-05
ADMS,ADAMAS PHARMACEUTICALS INC,,0.012007329,860745.6797436,34540.35633,24.92,USD,,0.01398262,-0.001975291
ADRO,ADURO BIOTECH INC,,0.005548244,397726.00794,64670.8956,6.15,USD,,0.005820686,-0.000272442
ADXS,ADVAXIS INC,,0.001790411,128345.6769104,68268.97708,1.88,USD,,0.002540597,-0.000750186
AERI,AERIE PHARMACEUTICALS INC,,0.043418549,3112459.7491235,60028.15331,51.85,USD,,0.044012516,-0.000593967
AET,AETNA INC,,1.587812806,113822398.099027,645068.84726,176.45,USD,,1.565521218,0.022291587
AGEN,AGENUS INC,,0.013459302,964830.4276256,177358.53449,5.44,USD,,0.013345091,0.00011421
A,AGILENT TECHNOLOGIES INC,,0.587473685,42113064.8283474,625008.38273,67.38,USD,,0.589985494,-0.002511809
AGIO,AGIOS PHARMACEUTICALS INC,,0.110693355,7935055.7984863,97088.65531,81.73,USD,,0.111759846,-0.00106649
AIMT,AIMMUNE THERAPEUTICS INC,,0.020152995,1444667.982696,44044.75557,32.8,USD,,0.033078326,-0.01292533
AKRX,AKORN INC,,0.045257625,3244293.9453552,181855.04178,17.84,USD,,0.045530027,-0.000272402
ALDR,ALDER BIOPHARMACEUTICALS INC,,0.022982467,1647498.727295,118952.9767,13.85,USD,,0.022980336,2.131e-06
ALXN,ALEXION PHARMACEUTICALS INC,,0.697108848,49972264.084827,434126.1757,115.11,USD,,0.699683233,-0.002574385
ALGN,ALIGN TECHNOLOGY INC,,0.507302508,36365992.1443485,148100.15127,245.55,USD,,0.508866259,-0.001563751
ALKS,ALKERMES PLC,,0.239207292,17147580.3400491,298686.29751,57.41,USD,,0.240194139,-0.000986846
AGN,ALLERGAN PLC,,1.344037078,96347329.3135836,650160.80244,148.19,USD,,1.340928335,0.003108742
MDRX,ALLSCRIPTS HEALTHCARE SOLUTI,,0.064421157,4618032.156814,334155.7277,13.82,USD,,0.064540216,-0.000119059
AFAM,ALMOST FAMILY INC,,0.017925172,1284966.404766,23028.07177,55.8,USD,,0.018024851,-9.9679e-05
ALNY,ALNYLAM PHARMACEUTICALS INC,,0.285820497,20489049.0351063,171988.99551,119.13,USD,,0.286840039,-0.001019541
AMAG,AMAG PHARMACEUTICALS INC,,0.019761997,1416639.286725,69104.35545,20.5,USD,,0.019730074,3.1923e-05
AMED,AMEDISYS INC,,0.044835236,3214014.9731886,56198.89794,57.19,USD,,0.044884377,-4.914e-05
ARA,AMERICAN RENAL ASSOCIATES HO,,0.006799574,487427.6855224,24605.13304,19.81,USD,,0.006782641,1.6932e-05
ABC,AMERISOURCEBERGEN CORP,,0.415925439,29815624.818726,319567.25422,93.3,USD,,0.415192334,0.000733104
AMGN,AMGEN INC,,3.628603528,260116528.629516,1419152.86502,183.29,USD,,3.619998506,0.008605022
FOLD,AMICUS THERAPEUTICS INC,,0.057188465,4099556.495714,288701.16167,14.2,USD,,0.071714882,-0.014526417
AMN,AMN HEALTHCARE SERVICES INC,,0.072063764,5165892.646266,93163.07748,55.45,USD,,0.072071655,-7.89e-06
AMPH,AMPHASTAR PHARMACEUTICALS IN,,0.018062842,1294835.2704672,71696.30512,18.06,USD,,0.018072698,-9.856e-06
ALOG,ANALOGIC CORP,,0.028544351,2046202.4955605,24345.06241,84.05,USD,,0.028549677,-5.326e-06
ANAB,ANAPTYSBIO INC,,0.039089844,2802156.4383887,22802.15183,122.89,USD,,0.039282401,-0.000192556
ANGO,ANGIODYNAMICS INC,,0.015229532,1091729.3938659,67683.16143,16.13,USD,,0.015307233,-7.7701e-05
ANIP,ANI PHARMACEUTICALS INC,,0.013466808,965368.4501448,15820.52524,61.02,USD,,0.013530788,-6.398e-05
ANIK,ANIKA THERAPEUTICS INC,,0.020516132,1470699.4407717,28551.72667,51.51,USD,,0.020547756,-3.1624e-05
ANTM,ANTHEM INC,,1.653143764,118505649.339554,510712.15885,232.04,USD,,1.620979796,0.032163968
PETX,ARATANA THERAPEUTICS INC,,0.003741829,268233.165603,68777.73477,3.9,USD,,0.003878234,-0.000136404
ABUS,ARBUTUS BIOPHARMA CORP,,1.49e-05,1068.128463,199.65018,5.35,USD,,,1.49e-05
ARDX,ARDELYX INC,,0.004485578,321548.826005,60102.5843,5.35,USD,,0.004497456,-1.1877e-05
ARNA,ARENA PHARMACEUTICALS INC,,0.043300989,3104032.4102263,76322.40989,40.67,USD,,0.043445826,-0.000144837
ARRY,ARRAY BIOPHARMA INC,,0.087864329,6298556.491097,356656.65295,17.66,USD,,0.089934724,-0.002070395
ARWR,ARROWHEAD PHARMACEUTICALS IN,,0.012996476,931652.7012916,148352.34097,6.28,USD,,0.013035917,-3.9441e-05
ASMB,ASSEMBLY BIOSCIENCES INC,,0.026644082,1909981.6963215,32643.67965,58.51,USD,,0.026515383,0.000128698
ATRA,ATARA BIOTHERAPEUTICS INC,,0.024577757,1761857.123064,47361.75062,37.2,USD,,0.024733346,-0.000155589
ATHN,ATHENAHEALTH INC,,0.148831403,10668982.6473042,77598.24458,137.49,USD,,0.149695799,-0.000864395
ATRC,ATRICURE INC,,0.015492766,1110599.3391493,62710.29583,17.71,USD,,0.015780539,-0.000287772
ATRI,ATRION CORPORATION,,0.023470283,1682467.8066,2902.8085,579.6,USD,,0.023361933,0.000108349
BOLD,AUDENTES THERAPEUTICS INC,,0.023074033,1654062.66465,48506.2365,34.1,USD,,0.023123537,-4.9503e-05
AVXS,AVEXIS INC,,0.099241228,7114109.7689792,55766.32256,127.57,USD,,0.099677126,-0.000435898
AXGN,AXOGEN INC,,0.026352434,1889074.916386,55642.85468,33.95,USD,,0.026768292,-0.000415857
AXON,AXOVANT SCIENCES LTD,,0.001261613,90438.7632446,60697.15654,1.49,USD,,0.001309937,-4.8324e-05
BAX,BAXTER INTERNATIONAL INC,,0.882376806,63253201.9540211,953901.40181,66.31,USD,,0.884648163,-0.002271357
BDX,BECTON DICKINSON AND CO,,1.565082848,112193000.539841,514363.65551,218.12,USD,,1.571885013,-0.006802164
BLCM,BELLICUM PHARMACEUTICALS INC,,0.004651609,333450.7349238,47500.10469,7.02,USD,,0.004763711,-0.000112102
BIO,BIO-RAD LABORATORIES-A,,0.149971936,10750741.7490422,40596.41171,264.82,USD,,0.150973222,-0.001001285
TECH,BIO-TECHNE CORP,,0.142701475,10229558.587706,72637.6382,140.83,USD,,0.14354058,-0.000839105
BCRX,BIOCRYST PHARMACEUTICALS INC,,0.012888911,923941.9312037,188175.54607,4.91,USD,,0.013145711,-0.000256799
BDSI,BIODELIVERY SCIENCES INTL,,9.069e-06,650.17656,288.96736,2.25,USD,,,9.069e-06
BIIB,BIOGEN INC,,1.619705939,116108658.040331,411222.44746,282.35,USD,,1.62456577,-0.004859831
BHVN,BIOHAVEN PHARMACEUTICAL HOLD,,0.007803584,559400.1031969,17260.10809,32.41,USD,,0.01587998,-0.008076396
BMRN,BIOMARIN PHARMACEUTICAL INC,,0.369292507,26472742.0392357,340836.12771,77.67,USD,,0.371122198,-0.001829691
BEAT,BIOTELEMETRY INC,,0.026357317,1889424.9171,59981.7434,31.5,USD,,0.026386055,-2.8737e-05
BIVV,BIOVERATIV INC,,0.291978304,20930471.584767,199966.2901,104.67,USD,,0.292724467,-0.000746163
BLUE,BLUEBIRD BIO INC,,0.269196198,19297335.7439595,94990.57713,203.15,USD,,0.272773311,-0.003577113
BPMC,BLUEPRINT MEDICINES CORP,,0.094205011,6753088.4382,75034.31598,90.0,USD,,0.09455809,-0.000353079
BSX,BOSTON SCIENTIFIC CORP,,0.98652733,70719234.669585,2668650.36489,26.5,USD,,0.99006737,-0.00354004
BMY,BRISTOL-MYERS SQUIBB CO,,2.922800438,209521017.646159,3189542.05581,65.69,USD,,2.925194582,-0.002394144
BKD,BROOKDALE SENIOR LIVING INC,,0.033220976,2381446.4481855,363579.61041,6.55,USD,,0.033216431,4.544e-06
BRKR,BRUKER CORP,,0.089126258,6389017.890139,215481.21046,29.65,USD,,0.087844504,0.001281754
CBM,CAMBREX CORP,,0.045394692,3254119.60643,63681.4013,51.1,USD,,0.045570545,-0.000175853
CMD,CANTEL MEDICAL CORP,,0.116012406,8316352.08558,73046.5708,113.85,USD,,0.116546427,-0.00053402
CSU,CAPITAL SENIOR LIVING CORP,,0.007478661,536108.011631,47443.18687,11.3,USD,,0.007495333,-1.6672e-05
CARA,CARA THERAPEUTICS INC,,0.009505927,681432.6402302,49775.94158,13.69,USD,,0.009716515,-0.000210588
CAH,CARDINAL HEALTH INC,,0.586290195,42028226.3223984,615527.62628,68.28,USD,,0.584445143,0.001845052
CSII,CARDIOVASCULAR SYSTEMS INC,,0.020907231,1498735.352105,63775.97243,23.5,USD,,0.021816377,-0.000909146
CSLT,CASTLIGHT HEALTH INC-B,,0.006440978,461721.726894,130062.45828,3.55,USD,,0.006627946,-0.000186967
CTLT,CATALENT INC,,0.145547527,10433577.881088,256731.7392,40.64,USD,,0.146903749,-0.001356222
CELG,CELGENE CORP,,1.850755934,132671482.372818,1521636.45341,87.19,USD,,1.867681278,-0.016925343
CLDX,CELLDEX THERAPEUTICS INC,,0.007900961,566380.6002808,250610.88508,2.26,USD,,0.008361553,-0.000460592
CNC,CENTENE CORP,,0.467200944,33491310.5731257,335550.65197,99.81,USD,,0.468616009,-0.001415065
CERN,CERNER CORP,,0.505037508,36203625.5871906,580465.37738,62.37,USD,,0.507674356,-0.002636848
CERS,CERUS CORP,,0.01437486,1030462.2360432,238532.92501,4.32,USD,,0.015015745,-0.000640884
CRL,CHARLES RIVER LABORATORIES,,0.135444757,9709360.5756906,92522.97099,104.94,USD,,0.135223824,0.000220932
CHE,CHEMED CORP,,0.112370402,8055274.9258023,31076.25063,259.21,USD,,0.112598979,-0.000228577
CMRX,CHIMERIX INC,,1.5052e-05,1079.0566911,220.66599,4.89,USD,,,1.5052e-05
CI,CIGNA CORP,,1.321295073,94717068.1543282,489696.35071,193.42,USD,,1.297455181,0.023839891
CIVI,CIVITAS SOLUTIONS INC,,0.005233121,375136.46599,29655.0566,12.65,USD,,0.005143726,8.9395e-05
CLSD,CLEARSIDE BIOMEDICAL INC,,0.003402929,243939.0752563,34699.72621,7.03,USD,,0.003393035,9.894e-06
CLVS,CLOVIS ONCOLOGY INC,,0.073751853,5286903.3593404,90482.68628,58.43,USD,,0.074024216,-0.000272362
CHRS,COHERUS BIOSCIENCES INC,,0.009006544,645634.347624,65881.05588,9.8,USD,,0.010042575,-0.001036031
COLL,COLLEGIUM PHARMACEUTICAL INC,,0.012448718,892386.6953232,37043.86448,24.09,USD,,0.013872394,-0.001423675
CYH,COMMUNITY HEALTH SYSTEMS INC,,0.014178096,1016357.178695,221912.04775,4.58,USD,,0.014296101,-0.000118004
CPSI,COMPUTER PROGRAMS & SYSTEMS,,0.009293251,666186.932418,22659.41947,29.4,USD,,0.009352684,-5.9432e-05
CFMS,CONFORMIS INC,,0.001854396,132932.4208167,103048.38823,1.29,USD,,0.001859313,-4.917e-06
CNMD,CONMED CORP,,0.04105215,2942824.3840828,49079.79293,59.96,USD,,0.04101301,3.914e-05
COO,COOPER COS INC/THE,,0.300899406,21569980.9804416,95076.39168,226.87,USD,,0.302140901,-0.001241495
CRBP,CORBUS PHARMACEUTICALS HOLDI,,0.008555118,613273.899795,84589.50342,7.25,USD,,0.00865911,-0.000103991
CORT,CORCEPT THERAPEUTICS INC,,0.034237516,2454317.142972,165832.23939,14.8,USD,,0.034465697,-0.000228181
CORI,CORIUM INTERNATIONAL INC,,0.00868744,622759.340973,51467.71413,12.1,USD,,0.008889782,-0.000202342
CRVL,CORVEL CORP,,0.013192879,945731.856582,19826.66366,47.7,USD,,0.013449656,-0.000256777
CRVS,CORVUS PHARMACEUTICALS INC,,0.001690586,121189.7242258,15497.40719,7.82,USD,,0.001790708,-0.000100121
COTV,COTIVITI HOLDINGS INC,,0.037856576,2713749.5359869,80502.80439,33.71,USD,,0.038122588,-0.000266012
CRSP,CRISPR THERAPEUTICS AG,,0.023043134,1651847.6160238,35493.07297,46.54,USD,,0.023308448,-0.000265314
CCRN,CROSS COUNTRY HEALTHCARE INC,,0.01055103,756350.8700517,70620.99627,10.71,USD,,0.010630205,-7.9174e-05
CRY,CRYOLIFE INC,,0.015443885,1107095.259536,58888.04572,18.8,USD,,0.015402138,4.1746e-05
CBAY,CYMABAY THERAPEUTICS INC,,0.018228132,1306684.0707184,91248.88762,14.32,USD,,0.020528879,-0.002300747
CYTK,CYTOKINETICS INC,,0.00888042,636593.17183,82674.4379,7.7,USD,,0.009030929,-0.000150508
CTMX,CYTOMX THERAPEUTICS INC,,0.016379173,1174141.431984,39453.67715,29.76,USD,,0.017104519,-0.000725346
DHR,DANAHER CORP,,1.628279538,116723256.707166,1215993.9234,95.99,USD,,1.635000363,-0.006720824
DVA,DAVITA INC,,0.292551591,20971567.673565,297680.1657,70.45,USD,,0.281073528,0.011478062
XRAY,DENTSPLY SIRONA INC,,0.344182868,24672756.9340275,446242.66475,55.29,USD,,0.345510908,-0.001328039
DEPO,DEPOMED INC,,0.010277363,736733.02476475,110042.27405,6.695,USD,,0.010330298,-5.2934e-05
DERM,DERMIRA INC,,0.020418376,1463691.772382,60283.84565,24.28,USD,,0.02064729,-0.000228914
DXCM,DEXCOM INC,,0.126810996,9090449.2556301,168248.18167,54.03,USD,,0.127748837,-0.000937841
DPLO,DIPLOMAT PHARMACY INC,,0.025899676,1856618.8991298,93344.33882,19.89,USD,,0.026089737,-0.00019006
