Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
VRTPX,VANGUARD R/E II INDX-INS PL,,10.148316993,3038345596.91835,171464198.47169,17.72,USD
AKR,ACADIA REALTY TRUST,,0.244029794,73061065.388506,2957937.86998,24.7,USD
ADC,AGREE REALTY CORP,,0.159886936,47869195.4560244,1013319.12481,47.24,USD
ALEX,ALEXANDER & BALDWIN REIT HOL,,0.187451268,56121792.020448,2429514.80608,23.1,USD
ALX,ALEXANDER'S INC,,0.09897932,29633818.4944156,81384.75913,364.12,USD
ARE,ALEXANDRIA REAL ESTATE EQUIT,,1.356404358,406099377.253992,3312392.96292,122.6,USD
ASPS,ALTISOURCE PORTFOLIO SOL,,0.000617511,184879.1356927,6844.84027,27.01,USD
AAT,AMERICAN ASSETS TRUST INC,,0.132459263,39657513.716236,1250236.8763,31.72,USD
ACC,AMERICAN CAMPUS COMMUNITIES,,0.59308716,177566759.517104,4825183.68253,36.8,USD
AMH,AMERICAN HOMES 4 RENT- A,,0.532233771,159347617.71932,8264917.9315,19.28,USD
AMT,AMERICAN TOWER CORP,,0.090829876,27193923.497854,200885.8942,135.37,USD
AIV,APARTMENT INVT & MGMT CO -A,,0.713550744,213632838.28691,5551788.93677,38.48,USD
APLE,APPLE HOSPITALITY REIT INC,,0.423534951,126803838.98057,7494316.72462,16.92,USD
AHH,ARMADA HOFFLER PROPERTIES IN,,0.070541316,21119649.5745924,1592733.75374,13.26,USD
AHP,ASHFORD HOSPITALITY PRIME IN,,0.027366246,8193291.1341456,903339.70608,9.07,USD
AHT,ASHFORD HOSPITALITY TRUST,,0.064178839,19214761.7978532,3443505.69854,5.58,USD
AVB,AVALONBAY COMMUNITIES INC,,2.528476994,757010935.602453,4882366.56306,155.05,USD
BXP,BOSTON PROPERTIES INC,,2.151255716,644073134.20118,5458246.90001,118.0,USD
BDN,BRANDYWINE REALTY TRUST,,0.325719436,97518457.1644212,6203464.19621,15.72,USD
BRX,BRIXMOR PROPERTY GROUP INC,,0.553373519,165676732.246459,10552658.10487,15.7,USD
CPT,CAMDEN PROPERTY TRUST,,0.870240622,260544853.533191,3278530.93662,79.47,USD
CTRE,CARETRUST REIT INC,,0.120262599,36005905.278574,2687007.85661,13.4,USD
CTT,CATCHMARK TIMBER TRUST INC-A,,0.001241985,371843.1227504,28255.55644,13.16,USD
CBL,CBL & ASSOCIATES PROPERTIES,,0.095210708,28505518.4946603,6052127.06893,4.71,USD
CBG,CBRE GROUP INC - A,,0.028201266,8443291.024208,181967.47897,46.4,USD
CDR,CEDAR REALTY TRUST INC,,0.043562636,13042393.5334016,3228315.23104,4.04,USD
CLDT,CHATHAM LODGING TRUST,,0.098210402,29403608.9535336,1605000.48873,18.32,USD
CHSP,CHESAPEAKE LODGING TRUST,,0.18320756,54851251.320816,2127666.8472,25.78,USD
CIO,CITY OFFICE REIT INC,,0.00068215,204231.6619616,19413.65608,10.52,USD
CLNS,COLONY NORTHSTAR INC-CLASS A,,0.370936374,111056138.87568,18509356.47928,6.0,USD
CXP,COLUMBIA PROPERTY TRUST INC,,0.300487629,89964204.4709018,4288093.63541,20.98,USD
CHCT,COMMUNITY HEALTHCARE TRUST I,,0.035253121,10554574.2629933,441798.83897,23.89,USD
CXW,CORECIVIC INC,,0.297666871,89119686.4363884,4180097.86287,21.32,USD
COR,CORESITE REALTY CORP,,0.374923948,112249994.684256,1211810.3712,92.63,USD
OFC,CORPORATE OFFICE PROPERTIES,,0.295921036,88596993.9155358,3518546.22381,25.18,USD
CUZ,COUSINS PROPERTIES INC,,0.412866024,123609626.06695,14856926.20997,8.32,USD
CCI,CROWN CASTLE INTL CORP,,0.053567777,16037873.3268505,151200.84215,106.07,USD
CUBE,CUBESMART,,0.575653786,172347311.360765,6373791.10062,27.04,USD
CONE,CYRUSONE INC,,0.504032997,150904474.092352,3069035.47066,49.17,USD
DCT,DCT INDUSTRIAL TRUST INC,,0.609254611,182407198.04488,3291954.48556,55.41,USD
DDR,DDR CORP,,0.290077944,86847606.9056448,11049313.85568,7.86,USD
DRH,DIAMONDROCK HOSPITALITY CO,,0.23946591,71694665.783378,7084453.14065,10.12,USD
DLR,DIGITAL REALTY TRUST INC,,2.396939702,717629454.662224,7256111.77616,98.9,USD
DEI,DOUGLAS EMMETT INC,,0.657608345,196884017.451023,5470520.07366,35.99,USD
DRE,DUKE REALTY CORP,,1.040294839,311458071.963803,12584164.52379,24.75,USD
DEA,EASTERLY GOVERNMENT PROPERTI,,0.089570128,26816762.3201064,1379463.08231,19.44,USD
EGP,EASTGROUP PROPERTIES INC,,0.328047475,98215458.1064425,1213585.29725,80.93,USD
EDR,EDUCATION REALTY TRUST INC,,0.270608122,81018458.3504247,2589276.39343,31.29,USD
ESRT,EMPIRE STATE REALTY TRUST-A,,0.265166646,79389312.8686475,4739660.46977,16.75,USD
EPR,EPR PROPERTIES,,0.462950773,138604701.242457,2606331.35093,53.18,USD
EQIX,EQUINIX INC,,3.558078985,1065267632.55704,2757688.86732,386.29,USD
EQC,EQUITY COMMONWEALTH,,0.433159602,129685402.152985,4388676.89181,29.55,USD
ELS,EQUITY LIFESTYLE PROPERTIES,,0.824536111,246861195.212865,2923856.39243,84.43,USD
EQR,EQUITY RESIDENTIAL,,2.444585776,731894405.271603,12995284.18451,56.32,USD
ESS,ESSEX PROPERTY TRUST INC,,1.746653831,522937742.448809,2334856.19703,223.97,USD
EXR,EXTRA SPACE STORAGE INC,,1.277956426,382612534.14269,4456237.29493,85.86,USD
FPI,FARMLAND PARTNERS INC,,0.000520335,155785.270062,20205.6122,7.71,USD
FRT,FEDERAL REALTY INVS TRUST,,0.935884045,280198102.923699,2416542.50042,115.95,USD
FR,FIRST INDUSTRIAL REALTY TR,,0.399416148,119582813.32887,4240525.29535,28.2,USD
FPH,FIVE POINT HOLDINGS LLC-CL A,,0.000333193,99756.182645,7362.0799,13.55,USD
FCE/A,FOREST CITY REALTY TRUST- A,,0.540985037,161967694.477313,7547422.85542,21.46,USD
FOR,FORESTAR GROUP INC,,0.000326779,97835.876795,4059.57995,24.1,USD
FCPT,FOUR CORNERS PROPERTY TRUST,,0.160034087,47913251.5672281,2165081.40837,22.13,USD
FSP,FRANKLIN STREET PROPERTIES C,,0.098597355,29519460.458614,3599934.20227,8.2,USD
RESI,FRONT YARD RESIDENTIAL CORP,,0.059974651,17956052.911974,1792021.2487,10.02,USD
