Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
CAFD,8POINT3 ENERGY PARTNERS LP,,0.045695294,1121674.6419816,92091.51412,12.18,USD
AES,AES CORP,,0.957473685,23502944.3736232,2144429.23117,10.96,USD
ALE,ALLETE INC,,0.462258276,11346975.602046,165407.80761,68.6,USD
LNT,ALLIANT ENERGY CORP,,1.176767085,28885902.3241887,750478.10663,38.49,USD
AEE,AMEREN CORPORATION,,1.731252492,42496761.690442,787560.44645,53.96,USD
AEP,AMERICAN ELECTRIC POWER,,4.267913009,104763737.711081,1596521.45247,65.62,USD
AWR,AMERICAN STATES WATER CO,,0.252871311,6207189.2504303,119300.19701,52.03,USD
AWK,AMERICAN WATER WORKS CO INC,,1.865939789,45802907.938566,578684.87604,79.15,USD
WTR,AQUA AMERICA INC,,0.791097092,19418926.3248618,576914.03223,33.66,USD
WAAS,AQUAVENTURE HOLDINGS LTD,,0.028283534,694271.1424272,51351.41586,13.52,USD
ATO,ATMOS ENERGY CORP,,1.124035911,27591519.126465,344248.5231,80.15,USD
AGR,AVANGRID INC,,0.394866392,9692718.4483713,200552.83361,48.33,USD
AVA,AVISTA CORP,,0.406711697,9983483.1436368,209034.40418,47.76,USD
BKH,BLACK HILLS CORP,,0.360893122,8858782.351731,173803.8523,50.97,USD
CWT,CALIFORNIA WATER SERVICE GRP,,0.241620109,5931007.8932115,156284.79297,37.95,USD
CPN,CALPINE CORP,,0.726196987,17825834.444975,1171211.19875,15.22,USD
CNP,CENTERPOINT ENERGY INC,,1.446794303,35514214.6955456,1329124.80148,26.72,USD
CPK,CHESAPEAKE UTILITIES CORP,,0.142150213,3489337.222443,50496.92073,69.1,USD
CMS,CMS ENERGY CORP,,1.580588885,38798447.6411616,915921.80456,42.36,USD
CTWS,CONNECTICUT WATER SVC INC,,0.077722883,1907850.4625544,37801.67352,50.47,USD
ED,CONSOLIDATED EDISON INC,,3.05595417,75013989.3867679,1005684.26581,74.59,USD
D,DOMINION ENERGY INC,,6.148103253,150916449.161853,2085921.89581,72.35,USD
DTE,DTE ENERGY COMPANY,,2.389310061,58649989.3518301,582249.47237,100.73,USD
DUK,DUKE ENERGY CORP,,6.99392235,171678627.262194,2272083.47356,75.56,USD
DYN,DYNEGY INC,,0.203534936,4996137.60175,404873.3875,12.34,USD
