,Company,Price,Allocation,Dollar Value,Shares
OXY,Occidental Petroleum,73.629997,0.04999999999907327,10999,149
PSX,Phillips 66,103.739998,0.04064253388465386,8941,86
NOV,National Oilwell Varco Inc,40.919998,0.04999999997060091,10999,268
PCG,PG&E Corporation,45.34,0.04999999999946175,10999,242
EIX,Edison Intl,63.439999,0.04999999999558735,10999,173
PPL,PPL Corp,27.790001,0.0499999999987348,10999,395
NTAP,NetApp Inc,67.470001,0.04999999999782383,10999,163
MON,Monsanto Co.,125.400002,0.04999999999971389,10999,87
NEM,Newmont Mining Corp,41.599998,0.04999999999823043,10999,264
GIS,General Mills Inc,44.799999,0.04999999996704861,10999,245
ADM,Archer-Daniels-Midland Co,45.200001,0.04999999999830953,10999,243
CPB,Campbell Soup Co,42.450001,0.04999999999584288,10999,259
ULTA,"Ulta Beauty, Inc",220.880005,0.049999999999402654,10999,49
VIAB,Viacom Inc B,30.700001,0.02461179549952581,5414,176
DRI,Darden Restaurants Inc,87.720001,0.049999999997995585,10999,125
MAT,Mattel Inc,14.64,0.04900809171368023,10781,736
DISCA,Discovery Communications Inc A,22.83,0.04999999998539216,10999,481
AET,Aetna Inc,172.929993,0.04999999998523826,10999,63
LUK,Leucadia National Corp (NY),24.299999,0.017873694855168903,3932,161
VTR,Ventas Inc,48.540001,0.049999999996765465,10999,226
ESS,Essex Property Trust,242.990005,0.04999999999816966,10999,45
