,Company,Price,Allocation,Dollar Value,Shares
AMZN,Amazon.com Inc,1495.560059,0.04999999999327309,11099,7
APC,Anadarko Petroleum Corp,61.560001,0.04999999999199582,11099,180
EW,Edwards Lifesciences Corp,135.320007,0.015275195505921156,3391,25
GWW,Grainger W.W. Inc,270.049988,0.02632125998695292,5843,21
IDXX,IDEXX Laboratories Inc,190.309998,0.04999999999674214,11099,58
MU,Micron Technology Inc,54.209999,0.04999999999849984,11099,204
NFLX,NetFlix Inc,300.940002,0.04999999999973858,11099,36
NKTR,Nektar Therapeutics,103.0,0.04999999999970128,11099,107
RHT,Red Hat Inc,147.899994,0.04999999999326369,11099,75
STX,Seagate Technology,56.279999,0.049999999999383954,11099,197
TPR,"Tapestry, Inc",51.740002,0.027814434770118555,6174,119
ALB,Albemarle Corp,93.239998,-0.03279746789460975,-7281,-78
BIIB,Biogen Inc,260.130005,-0.02194681666411531,-4872,-18
DISH,DISH Network Corp A,36.650002,-0.01942999759567223,-4313,-117
DVN,Devon Energy Corp,32.23,-0.029185558023983933,-6479,-201
GE,General Electric Co,13.07,-0.04999999999716345,-11099,-849
GIS,General Mills Inc,44.209999,-0.04999999999900665,-11099,-251
GT,Goodyear Tire & Rubber Co,26.610001,-0.022347672690291115,-4961,-186
KHC,The Kraft Heinz Company,60.029999,-0.04999999999746872,-11099,-184
LB,L Brands Inc,37.509998,-0.0499999999996834,-11099,-295
NFX,Newfield Exploration Co,24.360001,-0.02974245530218198,-6602,-271
PFG,Principal Financial Group,57.759998,-0.025850307108834458,-5738,-99
XEC,Cimarex Energy Co,93.209999,-0.04999999996896157,-11099,-119
XRAY,Dentsply Sirona Inc.,50.709999,-0.049999999996618805,-11099,-218
