"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BA","Boeing Co","7.75%","325.58","+5.97","+1.87%","5.26 M","173.75 - 371.60",
"MMM","3M Co","5.82%","218.81","-4.36","-1.95%","2.78 M","188.62 - 259.77",
"GE","General Electric Co","5.08%","13.21","-0.14","-1.02%","53.98 M","13.32 - 30.54",
"HON","Honeywell Intl Inc","4.84%","145.32","-1.56","-1.06%","1.77 M","122.40 - 165.13",
"UNP","Union Pacific Corp","4.65%","133.76","-1.11","-0.82%","2.22 M","101.06 - 143.05",
"UTX","United Technologies Corp","4.04%","123.71","-0.36","-0.29%","2.00 M","109.10 - 139.24",
"CAT","Caterpillar Inc","3.85%","146.27","-0.63","-0.43%","3.84 M","90.34 - 173.24",
"LMT","Lockheed Martin","3.56%","339.39","+12.24","+3.74%","2.01 M","264.04 - 363.00",
"UPS","United Parcel Service Inc B","3.15%","103.14","-1.31","-1.25%","1.96 M","102.12 - 135.53",
"GD","General Dynamics","2.64%","221.33","+2.96","+1.36%","897.71 K","183.72 - 230.00",
"RTN","Raytheon Co","2.64%","216.73","+7.62","+3.64%","1.78 M","148.65 - 222.82",
"NOC","Northrop Grumman Corp","2.58%","351.73","+12.90","+3.81%","1.02 M","233.20 - 359.43",
"FDX","FedEx Corp","2.55%","231.93","-4.34","-1.84%","1.66 M","182.89 - 274.66",
"ITW","Illinois Tool Works Inc","2.19%","159.08","-3.67","-2.26%","1.09 M","129.17 - 179.07",
"DE","Deere & Co","2.15%","149.68","-1.90","-1.25%","1.78 M","106.93 - 175.26",
"CSX","CSX Corporation","2.15%","55.30","+0.01","+0.02%","2.40 M","45.53 - 60.04",
"EMR","Emerson Electric Co","1.91%","68.28","-0.49","-0.71%","1.21 M","56.77 - 74.45",
"NSC","Norfolk Southern Corp","1.67%","134.27","+0.08","+0.06%","1.13 M","109.27 - 157.15",
"DAL","Delta Air Lines","1.56%","54.74","+0.07","+0.13%","4.17 M","43.81 - 60.79",
"ETN","Eaton Corp plc","1.53%","79.03","-0.40","-0.50%","1.24 M","69.82 - 89.85",
"WM","Waste Management Inc","1.47%","83.80","-0.44","-0.52%","1.53 M","70.09 - 89.73",
"JCI","Johnson Controls International plc","1.44%","34.47","-1.03","-2.90%","2.84 M","34.51 - 44.37",
"LUV","Southwest Airlines Co","1.35%","56.68","-0.32","-0.56%","3.80 M","49.76 - 66.99",
