"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"PG","Procter & Gamble","11.43%","76.76","+0.35","+0.46%","6.44 M","76.37 - 94.67",
"KO","Coca-Cola Co","9.74%","42.73","-0.04","-0.08%","6.75 M","41.91 - 48.62",
"PEP","PepsiCo Inc","9.11%","107.42","-0.52","-0.48%","2.11 M","106.19 - 122.51",
"PM","Philip Morris International","9.00%","97.04","-0.63","-0.64%","2.82 M","96.66 - 123.55",
"WMT","Walmart Inc.","7.51%","86.27","-0.87","-1.00%","4.97 M","69.33 - 109.98",
"COST","Costco Wholesale Corp","4.61%","182.41","-0.23","-0.13%","1.11 M","150.00 - 199.88",
"MO","Altria Group Inc","4.38%","59.81","-0.58","-0.96%","4.01 M","59.65 - 77.79",
"CVS","CVS Health Corporation","3.96%","61.34","-0.45","-0.73%","4.32 M","61.74 - 84.00",
"MDLZ","Mondelez International Inc","3.85%","41.24","+0.19","+0.46%","4.77 M","39.19 - 47.23",
"CL","Colgate-Palmolive Co","3.80%","68.77","-0.06","-0.08%","1.54 M","68.19 - 77.91",
"WBA","Walgreens Boots Alliance Inc","3.54%","66.12","+0.29","+0.44%","3.32 M","63.82 - 87.79",
"STZ","Constellation Brands Inc A","2.43%","222.55","-1.68","-0.75%","1.12 M","160.53 - 231.83",
"KMB","Kimberly-Clark","2.38%","105.60","-1.88","-1.75%","1.55 M","107.42 - 134.30",
"KHC","The Kraft Heinz Company","2.28%","60.86","+0.33","+0.55%","3.42 M","60.49 - 93.88",
"EL","Estee Lauder Cos. A","2.05%","144.88","+0.38","+0.26%","842.14 K","83.34 - 148.37",
"SYY","Sysco Corp","1.81%","59.65","-0.12","-0.20%","1.69 M","48.85 - 64.27",
"GIS","General Mills Inc","1.60%","44.55","+0.10","+0.23%","7.02 M","44.44 - 60.69",
"ADM","Archer-Daniels-Midland Co","1.48%","42.60","+0.66","+1.57%","2.60 M","38.59 - 46.39",
"MNST","Monster Beverage Corp New","1.48%","56.30","-0.48","-0.85%","1.52 M","44.35 - 70.22",
"TSN","Tyson Foods Inc A","1.37%","72.47","-0.23","-0.32%","1.26 M","57.20 - 84.65",
"DPS","Dr Pepper Snapple Group","1.34%","117.97","-0.06","-0.05%","830.81 K","83.23 - 126.65",
"KR","Kroger Co","1.30%","23.55","+0.16","+0.68%","13.95 M","19.69 - 31.45",
"CLX","Clorox Co","1.03%","125.55","+0.04","+0.03%","429.32 K","124.02 - 150.40",
"K","Kellogg Co","1.00%","63.73","+0.36","+0.57%","1.14 M","58.76 - 74.28",
"CAG","Conagra Brands, Inc","0.90%","35.98","+0.53","+1.50%","2.12 M","32.16 - 41.29",
"BF.b","Brown-Forman Corp B","0.89%","53.66","-0.28","-0.52%","354.42 K","36.33 - 56.81",
"TAP","Molson Coors Brewing Co B","0.87%","72.90","-1.49","-2.00%","1.89 M","72.71 - 97.92",
"HSY","Hershey Foods Corp","0.86%","96.90","-0.15","-0.15%","653.71 K","95.21 - 116.49",
"SJM","Smucker J.M. Co","0.85%","120.14","+1.86","+1.57%","940.83 K","99.57 - 134.13",
"MKC","McCormick & Co","0.81%","106.88","+0.32","+0.30%","623.46 K","90.25 - 111.46",
"CHD","Church & Dwight Co","0.74%","47.82","-0.57","-1.17%","1.28 M","43.21 - 54.18",
"HRL","Hormel Foods Corp","0.56%","32.92","+0.22","+0.66%","3.18 M","29.75 - 38.00",
"COTY","Coty Inc.","0.54%","18.28","+0.08","+0.44%","1.49 M","14.24 - 21.68",
"CPB","Campbell Soup Co","0.51%","42.77","+0.67","+1.59%","1.34 M","40.99 - 59.14",
