"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","21.59%","1510.53","-34.39","-2.23%","5.48 M","833.50 - 1617.54",
"HD","Home Depot Inc","7.12%","173.79","-1.50","-0.85%","3.79 M","144.25 - 207.61",
"CMCSA","Comcast Corp A","5.36%","33.37","+0.14","+0.42%","27.61 M","33.21 - 44.00",
"DIS","Walt Disney Co","5.26%","99.58","-1.02","-1.01%","4.22 M","96.20 - 116.10",
"NFLX","NetFlix Inc","4.63%","303.46","-3.24","-1.06%","6.53 M","138.66 - 333.98",
"MCD","McDonald's Corp","4.35%","156.54","-0.50","-0.32%","1.73 M","128.60 - 178.70",
"BKNG","Booking Holdings Inc","3.59%","2098.88","-14.92","-0.71%","242.93 K","1630.56 - 2228.99",
"NKE","NIKE Inc B","2.91%","65.36","+0.94","+1.46%","11.62 M","50.35 - 70.25",
"SBUX","Starbucks Corp","2.82%","56.78","-0.99","-1.71%","4.26 M","52.58 - 64.87",
"TWX","Time Warner Inc","2.56%","93.35","-0.91","-0.97%","2.92 M","85.88 - 103.90",
"LOW","Lowe's Cos Inc","2.47%","84.36","-1.34","-1.56%","4.12 M","70.76 - 108.98",
"CHTR","Charter Communications Inc A","2.09%","315.61","-7.36","-2.28%","602.29 K","308.30 - 408.83",
"TJX","TJX Cos Inc","1.78%","80.35","-0.65","-0.80%","1.96 M","66.44 - 84.79",
"GM","General Motors Company","1.60%","35.44","-0.91","-2.50%","7.56 M","31.92 - 46.76",
"F","Ford Motor Co","1.46%","10.61","-0.14","-1.30%","24.39 M","10.14 - 13.48",
"MAR","Marriott Intl A","1.43%","135.41","-1.84","-1.34%","1.00 M","90.00 - 149.21",
"FOXA","Twenty-First Century Fox Inc A","1.35%","36.53","-0.22","-0.60%","3.23 M","24.81 - 39.14",
"TGT","Target Corp","1.30%","68.42","-0.47","-0.68%","3.56 M","48.56 - 78.70",
"ROST","Ross Stores Inc","1.00%","75.36","+0.32","+0.43%","1.24 M","52.85 - 85.66",
"YUM","Yum! Brands Inc","0.95%","82.15","-0.03","-0.04%","1.21 M","62.85 - 86.93",
"CCL","Carnival Corp","0.93%","65.06","-1.14","-1.72%","2.96 M","57.39 - 72.70",
"VFC","VF Corp","0.83%","73.05","+0.66","+0.91%","1.65 M","51.22 - 84.38",
"DG","Dollar General Corp","0.82%","90.66","-1.10","-1.19%","1.33 M","65.97 - 105.82",
"DLTR","Dollar Tree Inc","0.77%","92.33","-1.21","-1.29%","1.62 M","65.63 - 116.65",
"APTV","Aptiv plc","0.77%","82.50","-1.29","-1.54%","1.10 M","50.01 - 104.99",
"RCL","Royal Caribbean Cruises Ltd","0.71%","118.39","-1.79","-1.49%","962.75 K","93.86 - 135.65",
"ORLY","O'Reilly Automotive","0.70%","240.85","-0.31","-0.13%","488.70 K","169.43 - 279.23",
