,Company,Price,Allocation,Dollar Value,Shares
WYNN,Wynn Resorts Ltd,185.671997,0.016354386749237882,3777,20
GWW,Grainger W.W. Inc,280.015015,0.04478866864352865,10346,36
EL,Estee Lauder Cos. A,143.71000700000005,0.04999999999304559,11549,80
TRIP,TripAdvisor Inc. A,43.82,0.049999999994089744,11549,263
RE,Everest Re Group Ltd,260.454987,0.04480154862906601,10349,39
HCA,HCA Healthcare Inc,103.190002,0.010076456961180787,2327,22
HUM,Humana Inc,272.230011,0.02087275192206081,4821,17
HPE,Hewlett Packard Enterprise Co,18.815001,0.023296915687262016,5381,286
CTSH,Cognizant Tech Solutions Corp,84.230003,0.04999999999515419,11549,137
MSI,Motorola Solutions Inc,109.080002,0.049999999999106357,11549,105
RHT,Red Hat Inc,154.634995,0.04999999999869985,11549,74
FISV,Fiserv Inc,147.955002,0.04999999999737507,11549,78
FE,FirstEnergy Corp,33.860001000000004,0.017217240665065962,3977,117
XYL,Xylem Inc,77.300003,0.021361509879147783,4934,63
AMZN,Amazon.com Inc,1581.880005,0.04999999999955982,11549,7
STX,Seagate Technology,59.314999,0.04999999999956531,11549,194
MON,Monsanto Co.,123.010002,0.016604831082183965,3835,31
ADSK,Autodesk Inc,136.770004,0.01807237559652667,4174,30
CRM,Salesforce.com,127.18,0.049999999996101954,11549,90
EW,Edwards Lifesciences Corp,140.759995,0.049999999999003744,11549,82
NFLX,NetFlix Inc,320.0,0.04999999999972217,11549,36
IDXX,IDEXX Laboratories Inc,204.289993,0.04999999999917907,11549,56
EA,Electronic Arts,128.130005,0.04806636658048058,11103,86
EVHC,Envision Healthcare Corp,40.299999,0.04999999999908208,11549,286
